COUNTY,Year,LABOR_FORCE,EMPLOYED,UNEMPLOYED
"Autauga County, AL",2018,25957,25015,942
"Baldwin County, AL",2018,93849,90456,3393
"Barbour County, AL",2018,8373,7940,433
"Bibb County, AL",2018,8661,8317,344
"Blount County, AL",2018,25006,24128,878
"Bullock County, AL",2018,4776,4552,224
"Butler County, AL",2018,8914,8487,427
"Calhoun County, AL",2018,45972,43833,2139
"Chambers County, AL",2018,15276,14679,597
"Cherokee County, AL",2018,11622,11207,415
"Chilton County, AL",2018,19476,18773,703
"Choctaw County, AL",2018,4694,4434,260
"Clarke County, AL",2018,7627,7057,570
"Clay County, AL",2018,5963,5730,233
"Cleburne County, AL",2018,5743,5499,244
"Coffee County, AL",2018,20817,19995,822
"Colbert County, AL",2018,23258,22184,1074
"Conecuh County, AL",2018,4494,4259,235
"Coosa County, AL",2018,4376,4193,183
"Covington County, AL",2018,15617,14902,715
"Crenshaw County, AL",2018,6298,6041,257
"Cullman County, AL",2018,37830,36589,1241
"Dale County, AL",2018,20120,19274,846
"Dallas County, AL",2018,14860,13887,973
"DeKalb County, AL",2018,30129,28979,1150
"Elmore County, AL",2018,37215,35932,1283
"Escambia County, AL",2018,14352,13696,656
"Etowah County, AL",2018,43096,41328,1768
"Fayette County, AL",2018,6482,6215,267
"Franklin County, AL",2018,14203,13673,530
"Geneva County, AL",2018,10851,10425,426
"Greene County, AL",2018,2838,2647,191
"Hale County, AL",2018,5991,5686,305
"Henry County, AL",2018,6766,6466,300
"Houston County, AL",2018,45150,43325,1825
"Jackson County, AL",2018,23241,22286,955
"Jefferson County, AL",2018,314014,302359,11655
"Lamar County, AL",2018,5721,5503,218
"Lauderdale County, AL",2018,42141,40375,1766
"Lawrence County, AL",2018,13919,13336,583
"Lee County, AL",2018,74654,71951,2703
"Limestone County, AL",2018,42393,40890,1503
"Lowndes County, AL",2018,3625,3360,265
"Macon County, AL",2018,7816,7389,427
"Madison County, AL",2018,179752,173532,6220
"Marengo County, AL",2018,7589,7209,380
"Marion County, AL",2018,12549,12036,513
"Marshall County, AL",2018,42598,41157,1441
"Mobile County, AL",2018,187406,178608,8798
"Monroe County, AL",2018,7158,6716,442
"Montgomery County, AL",2018,105579,101360,4219
"Morgan County, AL",2018,56339,54356,1983
"Perry County, AL",2018,3397,3175,222
"Pickens County, AL",2018,7805,7449,356
"Pike County, AL",2018,15230,14544,686
"Randolph County, AL",2018,9538,9155,383
"Russell County, AL",2018,23753,22798,955
"St. Clair County, AL",2018,39683,38296,1387
"Shelby County, AL",2018,112891,109672,3219
"Sumter County, AL",2018,4768,4487,281
"Talladega County, AL",2018,34978,33481,1497
"Tallapoosa County, AL",2018,17772,17028,744
"Tuscaloosa County, AL",2018,101569,97855,3714
"Walker County, AL",2018,25132,24064,1068
"Washington County, AL",2018,6667,6278,389
"Wilcox County, AL",2018,2734,2472,262
"Winston County, AL",2018,9781,9371,410
"Aleutians East Borough, AK",2018,2321,2252,69
"Aleutians West Census Area, AK",2018,3615,3487,128
"Anchorage Municipality, AK",2018,151950,143602,8348
"Bethel Census Area, AK",2018,7400,6455,945
"Bristol Bay Borough, AK",2018,441,413,28
"Denali Borough, AK",2018,1088,1003,85
"Dillingham Census Area, AK",2018,2027,1861,166
"Fairbanks North Star Borough, AK",2018,46101,43426,2675
"Haines Borough, AK",2018,1092,988,104
"Hoonah-Angoon Census Area, AK",2018,1158,1012,146
"Juneau City and Borough, AK",2018,17232,16470,762
"Kenai Peninsula Borough, AK",2018,26497,24453,2044
"Ketchikan Gateway Borough, AK",2018,7026,6604,422
"Kodiak Island Borough, AK",2018,6210,5848,362
"Kusilvak Census Area, AK",2018,2708,2169,539
"Lake and Peninsula Borough, AK",2018,739,653,86
"Matanuska-Susitna Borough, AK",2018,47654,44014,3640
"Nome Census Area, AK",2018,4113,3636,477
"North Slope Borough, AK",2018,3413,3173,240
"Northwest Arctic Borough, AK",2018,2924,2508,416
"Petersburg Borough, AK",2018,1404,1282,122
"Prince of Wales-Hyder Census Area, AK",2018,2899,2584,315
"Sitka City and Borough, AK",2018,4408,4225,183
"Skagway Municipality, AK",2018,836,754,82
"Southeast Fairbanks Census Area, AK",2018,2940,2658,282
"Valdez-Cordova Census Area, AK",2018,4849,4488,361
"Wrangell City and Borough, AK",2018,1051,977,74
"Yakutat City and Borough, AK",2018,245,225,20
"Yukon-Koyukuk Census Area, AK",2018,2545,2156,389
"Apache County, AZ",2018,20665,18585,2080
"Cochise County, AZ",2018,49774,46985,2789
"Coconino County, AZ",2018,77083,72850,4233
"Gila County, AZ",2018,21518,20251,1267
"Graham County, AZ",2018,14878,14114,764
"Greenlee County, AZ",2018,4280,4098,182
"La Paz County, AZ",2018,8938,8381,557
"Maricopa County, AZ",2018,2229526,2137219,92307
"Mohave County, AZ",2018,85442,80508,4934
"Navajo County, AZ",2018,40598,37447,3151
"Pima County, AZ",2018,486261,464433,21828
"Pinal County, AZ",2018,178216,169264,8952
"Santa Cruz County, AZ",2018,19325,17522,1803
"Yavapai County, AZ",2018,105618,100899,4719
"Yuma County, AZ",2018,97636,80997,16639
"Arkansas County, AR",2018,9070,8762,308
"Ashley County, AR",2018,7683,7263,420
"Baxter County, AR",2018,16463,15785,678
"Benton County, AR",2018,134404,130532,3872
"Boone County, AR",2018,15856,15295,561
"Bradley County, AR",2018,4362,4166,196
"Calhoun County, AR",2018,2404,2310,94
"Carroll County, AR",2018,12639,12233,406
"Chicot County, AR",2018,3340,3110,230
"Clark County, AR",2018,9580,9214,366
"Clay County, AR",2018,5835,5579,256
"Cleburne County, AR",2018,9174,8758,416
"Cleveland County, AR",2018,3302,3173,129
"Columbia County, AR",2018,8991,8562,429
"Conway County, AR",2018,8198,7840,358
"Craighead County, AR",2018,54120,52462,1658
"Crawford County, AR",2018,26861,25899,962
"Crittenden County, AR",2018,21467,20542,925
"Cross County, AR",2018,7441,7131,310
"Dallas County, AR",2018,2811,2687,124
"Desha County, AR",2018,5443,5196,247
"Drew County, AR",2018,7757,7369,388
"Faulkner County, AR",2018,61476,59460,2016
"Franklin County, AR",2018,7406,7140,266
"Fulton County, AR",2018,4805,4613,192
"Garland County, AR",2018,40797,39146,1651
"Grant County, AR",2018,8321,8062,259
"Greene County, AR",2018,19755,19064,691
"Hempstead County, AR",2018,9908,9555,353
"Hot Spring County, AR",2018,13993,13466,527
"Howard County, AR",2018,5922,5717,205
"Independence County, AR",2018,16222,15560,662
"Izard County, AR",2018,4869,4599,270
"Jackson County, AR",2018,5786,5430,356
"Jefferson County, AR",2018,28066,26582,1484
"Johnson County, AR",2018,10445,9972,473
"Lafayette County, AR",2018,2497,2366,131
"Lawrence County, AR",2018,6858,6589,269
"Lee County, AR",2018,2917,2776,141
"Lincoln County, AR",2018,4041,3867,174
"Little River County, AR",2018,5485,5196,289
"Logan County, AR",2018,8749,8396,353
"Lonoke County, AR",2018,33853,32766,1087
"Madison County, AR",2018,7426,7213,213
"Marion County, AR",2018,6506,6237,269
"Miller County, AR",2018,19722,18772,950
"Mississippi County, AR",2018,17510,16515,995
"Monroe County, AR",2018,2746,2627,119
"Montgomery County, AR",2018,3036,2890,146
"Nevada County, AR",2018,3613,3485,128
"Newton County, AR",2018,3312,3200,112
"Ouachita County, AR",2018,9755,9301,454
"Perry County, AR",2018,4248,4071,177
"Phillips County, AR",2018,6608,6202,406
"Pike County, AR",2018,4255,4078,177
"Poinsett County, AR",2018,10269,9874,395
"Polk County, AR",2018,8003,7670,333
"Pope County, AR",2018,28998,27702,1296
"Prairie County, AR",2018,3568,3429,139
"Pulaski County, AR",2018,189210,182612,6598
"Randolph County, AR",2018,7175,6890,285
"St. Francis County, AR",2018,8320,7891,429
"Saline County, AR",2018,57716,55923,1793
"Scott County, AR",2018,4380,4219,161
"Searcy County, AR",2018,2957,2829,128
"Sebastian County, AR",2018,57075,55032,2043
"Sevier County, AR",2018,5549,5290,259
"Sharp County, AR",2018,5798,5522,276
"Stone County, AR",2018,4801,4583,218
"Union County, AR",2018,15960,15074,886
"Van Buren County, AR",2018,5921,5610,311
"Washington County, AR",2018,122569,119378,3191
"White County, AR",2018,33786,32308,1478
"Woodruff County, AR",2018,2829,2695,134
"Yell County, AR",2018,8505,8148,357
"Alameda County, CA",2018,848215,822769,25446
"Alpine County, CA",2018,547,522,25
"Amador County, CA",2018,14706,14117,589
"Butte County, CA",2018,102712,97619,5093
"Calaveras County, CA",2018,21351,20506,845
"Colusa County, CA",2018,10969,9551,1418
"Contra Costa County, CA",2018,564570,546778,17792
"Del Norte County, CA",2018,9961,9412,549
"El Dorado County, CA",2018,91589,88319,3270
"Fresno County, CA",2018,448353,414926,33427
"Glenn County, CA",2018,12779,11944,835
"Humboldt County, CA",2018,63027,60782,2245
"Imperial County, CA",2018,71055,58200,12855
"Inyo County, CA",2018,8725,8388,337
"Kern County, CA",2018,386997,356132,30865
"Kings County, CA",2018,57865,53384,4481
"Lake County, CA",2018,29116,27594,1522
"Lassen County, CA",2018,9899,9425,474
"Los Angeles County, CA",2018,5095504,4860309,235195
"Madera County, CA",2018,61528,57212,4316
"Marin County, CA",2018,141111,137748,3363
"Mariposa County, CA",2018,7663,7257,406
"Mendocino County, CA",2018,39715,38151,1564
"Merced County, CA",2018,115408,105834,9574
"Modoc County, CA",2018,3179,2939,240
"Mono County, CA",2018,8524,8196,328
"Monterey County, CA",2018,224057,210010,14047
"Napa County, CA",2018,74547,72366,2181
"Nevada County, CA",2018,48870,47176,1694
"Orange County, CA",2018,1625426,1577885,47541
"Placer County, CA",2018,185213,179376,5837
"Plumas County, CA",2018,7848,7260,588
"Riverside County, CA",2018,1092371,1044563,47808
"Sacramento County, CA",2018,710442,683494,26948
"San Benito County, CA",2018,30869,29308,1561
"San Bernardino County, CA",2018,961030,922251,38779
"San Diego County, CA",2018,1592193,1539530,52663
"San Francisco County, CA",2018,575567,562022,13545
"San Joaquin County, CA",2018,326387,306816,19571
"San Luis Obispo County, CA",2018,140920,136769,4151
"San Mateo County, CA",2018,454875,444868,10007
"Santa Barbara County, CA",2018,216698,208261,8437
"Santa Clara County, CA",2018,1048804,1021522,27282
"Santa Cruz County, CA",2018,142618,135634,6984
"Shasta County, CA",2018,74215,70546,3669
"Sierra County, CA",2018,1278,1201,77
"Siskiyou County, CA",2018,17410,16244,1166
"Solano County, CA",2018,209721,201553,8168
"Sonoma County, CA",2018,262348,255161,7187
"Stanislaus County, CA",2018,243538,227940,15598
"Sutter County, CA",2018,45477,42085,3392
"Tehama County, CA",2018,25626,24176,1450
"Trinity County, CA",2018,4707,4439,268
"Tulare County, CA",2018,204589,184940,19649
"Tuolumne County, CA",2018,21339,20357,982
"Ventura County, CA",2018,425728,409662,16066
"Yolo County, CA",2018,108518,103956,4562
"Yuba County, CA",2018,29078,27215,1863
"Adams County, CO",2018,269911,260542,9369
"Alamosa County, CO",2018,8447,8095,352
"Arapahoe County, CO",2018,362692,351003,11689
"Archuleta County, CO",2018,6928,6692,236
"Baca County, CO",2018,2229,2188,41
"Bent County, CO",2018,2017,1953,64
"Boulder County, CO",2018,193822,188303,5519
"Broomfield County, CO",2018,39816,38651,1165
"Chaffee County, CO",2018,9708,9447,261
"Cheyenne County, CO",2018,1166,1145,21
"Clear Creek County, CO",2018,6075,5891,184
"Conejos County, CO",2018,4080,3901,179
"Costilla County, CO",2018,1910,1828,82
"Crowley County, CO",2018,1533,1466,67
"Custer County, CO",2018,2106,2029,77
"Delta County, CO",2018,14851,14266,585
"Denver County, CO",2018,412817,399671,13146
"Dolores County, CO",2018,1197,1163,34
"Douglas County, CO",2018,191240,185768,5472
"Eagle County, CO",2018,36207,35218,989
"Elbert County, CO",2018,14963,14538,425
"El Paso County, CO",2018,337084,323816,13268
"Fremont County, CO",2018,15342,14544,798
"Garfield County, CO",2018,32479,31436,1043
"Gilpin County, CO",2018,3731,3636,95
"Grand County, CO",2018,9917,9651,266
"Gunnison County, CO",2018,11012,10727,285
"Hinsdale County, CO",2018,459,447,12
"Huerfano County, CO",2018,2619,2448,171
"Jackson County, CO",2018,1029,1002,27
"Jefferson County, CO",2018,334242,324124,10118
"Kiowa County, CO",2018,963,946,17
"Kit Carson County, CO",2018,4487,4396,91
"Lake County, CO",2018,4894,4765,129
"La Plata County, CO",2018,32091,31120,971
"Larimer County, CO",2018,202449,196754,5695
"Las Animas County, CO",2018,6572,6261,311
"Lincoln County, CO",2018,2494,2433,61
"Logan County, CO",2018,11287,10958,329
"Mesa County, CO",2018,76060,72949,3111
"Mineral County, CO",2018,507,494,13
"Moffat County, CO",2018,7579,7302,277
"Montezuma County, CO",2018,13338,12706,632
"Montrose County, CO",2018,21941,21136,805
"Morgan County, CO",2018,16473,15990,483
"Otero County, CO",2018,8635,8205,430
"Ouray County, CO",2018,2400,2316,84
"Park County, CO",2018,10859,10545,314
"Phillips County, CO",2018,2693,2642,51
"Pitkin County, CO",2018,11363,10926,437
"Prowers County, CO",2018,6387,6175,212
"Pueblo County, CO",2018,75912,72186,3726
"Rio Blanco County, CO",2018,2854,2727,127
"Rio Grande County, CO",2018,5643,5370,273
"Routt County, CO",2018,16301,15861,440
"Saguache County, CO",2018,3638,3469,169
"San Juan County, CO",2018,519,503,16
"San Miguel County, CO",2018,5520,5326,194
"Sedgwick County, CO",2018,1253,1221,32
"Summit County, CO",2018,22315,21819,496
"Teller County, CO",2018,12651,12182,469
"Washington County, CO",2018,3225,3147,78
"Weld County, CO",2018,165290,160320,4970
"Yuma County, CO",2018,6142,6017,125
"Fairfield County, CT",2018,480767,461750,19017
"Hartford County, CT",2018,480319,459939,20380
"Litchfield County, CT",2018,105014,101000,4014
"Middlesex County, CT",2018,93078,89811,3267
"New Haven County, CT",2018,458747,438576,20171
"New London County, CT",2018,137463,132032,5431
"Tolland County, CT",2018,86499,83402,3097
"Windham County, CT",2018,63426,60560,2866
"Kent County, DE",2018,78124,74885,3239
"New Castle County, DE",2018,298915,287977,10938
"Sussex County, DE",2018,105426,101475,3951
"District of Columbia, DC",2018,404739,381703,23036
"Alachua County, FL",2018,137339,132846,4493
"Baker County, FL",2018,11869,11467,402
"Bay County, FL",2018,89251,85703,3548
"Bradford County, FL",2018,11304,10933,371
"Brevard County, FL",2018,276558,266812,9746
"Broward County, FL",2018,1036212,1001293,34919
"Calhoun County, FL",2018,5082,4873,209
"Charlotte County, FL",2018,70953,68108,2845
"Citrus County, FL",2018,47799,45314,2485
"Clay County, FL",2018,106276,102789,3487
"Collier County, FL",2018,177351,171255,6096
"Columbia County, FL",2018,29540,28434,1106
"DeSoto County, FL",2018,13955,13419,536
"Dixie County, FL",2018,5773,5529,244
"Duval County, FL",2018,487844,470411,17433
"Escambia County, FL",2018,145298,140151,5147
"Flagler County, FL",2018,47077,45173,1904
"Franklin County, FL",2018,4840,4673,167
"Gadsden County, FL",2018,18500,17654,846
"Gilchrist County, FL",2018,6869,6611,258
"Glades County, FL",2018,5206,4998,208
"Gulf County, FL",2018,6122,5852,270
"Hamilton County, FL",2018,4296,4114,182
"Hardee County, FL",2018,8789,8322,467
"Hendry County, FL",2018,15599,14652,947
"Hernando County, FL",2018,70465,67280,3185
"Highlands County, FL",2018,36472,34716,1756
"Hillsborough County, FL",2018,735690,710804,24886
"Holmes County, FL",2018,6983,6706,277
"Indian River County, FL",2018,65104,62318,2786
"Jackson County, FL",2018,17542,16846,696
"Jefferson County, FL",2018,5582,5373,209
"Lafayette County, FL",2018,2847,2756,91
"Lake County, FL",2018,155273,149818,5455
"Lee County, FL",2018,342684,331050,11634
"Leon County, FL",2018,154655,149478,5177
"Levy County, FL",2018,16926,16277,649
"Liberty County, FL",2018,2643,2543,100
"Madison County, FL",2018,7348,7062,286
"Manatee County, FL",2018,177777,171752,6025
"Marion County, FL",2018,135746,129921,5825
"Martin County, FL",2018,74159,71563,2596
"Miami-Dade County, FL",2018,1362691,1315474,47217
"Monroe County, FL",2018,45307,44120,1187
"Nassau County, FL",2018,39910,38629,1281
"Okaloosa County, FL",2018,96270,93435,2835
"Okeechobee County, FL",2018,17697,17037,660
"Orange County, FL",2018,750160,726303,23857
"Osceola County, FL",2018,177919,171463,6456
"Palm Beach County, FL",2018,731004,704955,26049
"Pasco County, FL",2018,231983,223077,8906
"Pinellas County, FL",2018,492704,476541,16163
"Polk County, FL",2018,298759,286603,12156
"Putnam County, FL",2018,27097,25794,1303
"St. Johns County, FL",2018,127595,123928,3667
"St. Lucie County, FL",2018,142635,136390,6245
"Santa Rosa County, FL",2018,80654,77976,2678
"Sarasota County, FL",2018,188038,181707,6331
"Seminole County, FL",2018,254438,246363,8075
"Sumter County, FL",2018,31241,29649,1592
"Suwannee County, FL",2018,18286,17608,678
"Taylor County, FL",2018,8735,8399,336
"Union County, FL",2018,4670,4511,159
"Volusia County, FL",2018,253439,243967,9472
"Wakulla County, FL",2018,14767,14307,460
"Walton County, FL",2018,30644,29698,946
"Washington County, FL",2018,9920,9541,379
"Appling County, GA",2018,9044,8651,393
"Atkinson County, GA",2018,4358,4204,154
"Bacon County, GA",2018,5057,4864,193
"Baker County, GA",2018,1217,1155,62
"Baldwin County, GA",2018,17286,16415,871
"Banks County, GA",2018,9538,9241,297
"Barrow County, GA",2018,39665,38362,1303
"Bartow County, GA",2018,50113,48219,1894
"Ben Hill County, GA",2018,5508,5184,324
"Berrien County, GA",2018,7477,7166,311
"Bibb County, GA",2018,69212,66083,3129
"Bleckley County, GA",2018,4660,4394,266
"Brantley County, GA",2018,7351,7022,329
"Brooks County, GA",2018,7044,6767,277
"Bryan County, GA",2018,17868,17260,608
"Bulloch County, GA",2018,37503,35935,1568
"Burke County, GA",2018,9367,8805,562
"Butts County, GA",2018,10744,10310,434
"Calhoun County, GA",2018,2256,2160,96
"Camden County, GA",2018,20982,20110,872
"Candler County, GA",2018,5358,5174,184
"Carroll County, GA",2018,55383,53163,2220
"Catoosa County, GA",2018,33156,32022,1134
"Charlton County, GA",2018,4805,4599,206
"Chatham County, GA",2018,140971,135719,5252
"Chattahoochee County, GA",2018,1988,1877,111
"Chattooga County, GA",2018,10487,10058,429
"Cherokee County, GA",2018,132799,128664,4135
"Clarke County, GA",2018,61475,59045,2430
"Clay County, GA",2018,858,792,66
"Clayton County, GA",2018,136502,129814,6688
"Clinch County, GA",2018,2766,2640,126
"Cobb County, GA",2018,426279,411814,14465
"Coffee County, GA",2018,18709,17864,845
"Colquitt County, GA",2018,21551,20740,811
"Columbia County, GA",2018,74950,72341,2609
"Cook County, GA",2018,7886,7588,298
"Coweta County, GA",2018,73505,70987,2518
"Crawford County, GA",2018,5703,5466,237
"Crisp County, GA",2018,9399,8943,456
"Dade County, GA",2018,8274,7974,300
"Dawson County, GA",2018,12040,11639,401
"Decatur County, GA",2018,11551,11012,539
"DeKalb County, GA",2018,399846,383773,16073
"Dodge County, GA",2018,7176,6804,372
"Dooly County, GA",2018,5157,4919,238
"Dougherty County, GA",2018,38361,36395,1966
"Douglas County, GA",2018,72900,69898,3002
"Early County, GA",2018,4560,4351,209
"Echols County, GA",2018,1900,1839,61
"Effingham County, GA",2018,29925,28936,989
"Elbert County, GA",2018,7843,7465,378
"Emanuel County, GA",2018,8324,7834,490
"Evans County, GA",2018,4915,4735,180
"Fannin County, GA",2018,11207,10765,442
"Fayette County, GA",2018,57768,55758,2010
"Floyd County, GA",2018,44274,42368,1906
"Forsyth County, GA",2018,118048,114331,3717
"Franklin County, GA",2018,9993,9610,383
"Fulton County, GA",2018,555127,532817,22310
"Gilmer County, GA",2018,11992,11485,507
"Glascock County, GA",2018,1295,1241,54
"Glynn County, GA",2018,40225,38749,1476
"Gordon County, GA",2018,27993,26940,1053
"Grady County, GA",2018,10684,10271,413
"Greene County, GA",2018,6994,6697,297
"Gwinnett County, GA",2018,487986,470913,17073
"Habersham County, GA",2018,19385,18670,715
"Hall County, GA",2018,102169,98934,3235
"Hancock County, GA",2018,2479,2330,149
"Haralson County, GA",2018,12508,12026,482
"Harris County, GA",2018,16736,16165,571
"Hart County, GA",2018,11681,11258,423
"Heard County, GA",2018,5208,5006,202
"Henry County, GA",2018,113843,109127,4716
"Houston County, GA",2018,70197,67394,2803
"Irwin County, GA",2018,3340,3153,187
"Jackson County, GA",2018,36248,35165,1083
"Jasper County, GA",2018,6926,6686,240
"Jeff Davis County, GA",2018,6077,5781,296
"Jefferson County, GA",2018,6747,6388,359
"Jenkins County, GA",2018,3206,3033,173
"Johnson County, GA",2018,4147,3983,164
"Jones County, GA",2018,13886,13378,508
"Lamar County, GA",2018,8118,7748,370
"Lanier County, GA",2018,3845,3676,169
"Laurens County, GA",2018,19524,18585,939
"Lee County, GA",2018,14885,14355,530
"Liberty County, GA",2018,25706,24597,1109
"Lincoln County, GA",2018,3611,3432,179
"Long County, GA",2018,8028,7710,318
"Lowndes County, GA",2018,51746,49640,2106
"Lumpkin County, GA",2018,16714,16114,600
"McDuffie County, GA",2018,8973,8474,499
"McIntosh County, GA",2018,6190,5943,247
"Macon County, GA",2018,4731,4436,295
"Madison County, GA",2018,13689,13206,483
"Marion County, GA",2018,3435,3261,174
"Meriwether County, GA",2018,8947,8500,447
"Miller County, GA",2018,2813,2709,104
"Mitchell County, GA",2018,8408,7956,452
"Monroe County, GA",2018,13043,12564,479
"Montgomery County, GA",2018,3799,3582,217
"Morgan County, GA",2018,9067,8744,323
"Murray County, GA",2018,15943,15096,847
"Muscogee County, GA",2018,79354,75325,4029
"Newton County, GA",2018,51780,49474,2306
"Oconee County, GA",2018,19687,19105,582
"Oglethorpe County, GA",2018,7124,6863,261
"Paulding County, GA",2018,83868,80981,2887
"Peach County, GA",2018,11911,11304,607
"Pickens County, GA",2018,15158,14626,532
"Pierce County, GA",2018,8686,8352,334
"Pike County, GA",2018,8756,8437,319
"Polk County, GA",2018,18522,17746,776
"Pulaski County, GA",2018,4134,3958,176
"Putnam County, GA",2018,8223,7815,408
"Quitman County, GA",2018,830,784,46
"Rabun County, GA",2018,7092,6808,284
"Randolph County, GA",2018,2489,2343,146
"Richmond County, GA",2018,86626,82166,4460
"Rockdale County, GA",2018,44875,42903,1972
"Schley County, GA",2018,2193,2091,102
"Screven County, GA",2018,5330,5042,288
"Seminole County, GA",2018,3062,2900,162
"Spalding County, GA",2018,28551,27209,1342
"Stephens County, GA",2018,10964,10468,496
"Stewart County, GA",2018,2352,2242,110
"Sumter County, GA",2018,12782,12025,757
"Talbot County, GA",2018,2835,2692,143
"Taliaferro County, GA",2018,585,555,30
"Tattnall County, GA",2018,9692,9285,407
"Taylor County, GA",2018,2784,2602,182
"Telfair County, GA",2018,4375,4078,297
"Terrell County, GA",2018,3673,3432,241
"Thomas County, GA",2018,16925,16127,798
"Tift County, GA",2018,19337,18561,776
"Toombs County, GA",2018,11945,11251,694
"Towns County, GA",2018,3886,3673,213
"Treutlen County, GA",2018,2704,2547,157
"Troup County, GA",2018,36651,35295,1356
"Turner County, GA",2018,3185,3023,162
"Twiggs County, GA",2018,2925,2753,172
"Union County, GA",2018,10317,9941,376
"Upson County, GA",2018,11376,10875,501
"Walker County, GA",2018,31167,29961,1206
"Walton County, GA",2018,45262,43654,1608
"Ware County, GA",2018,15646,15030,616
"Warren County, GA",2018,2748,2611,137
"Washington County, GA",2018,7157,6799,358
"Wayne County, GA",2018,11398,10868,530
"Webster County, GA",2018,1001,938,63
"Wheeler County, GA",2018,1670,1547,123
"White County, GA",2018,16103,15612,491
"Whitfield County, GA",2018,45256,43107,2149
"Wilcox County, GA",2018,2679,2539,140
"Wilkes County, GA",2018,3891,3713,178
"Wilkinson County, GA",2018,3833,3663,170
"Worth County, GA",2018,9182,8778,404
"Hawaii County, HI",2018,91305,88577,2728
"Honolulu County, HI",2018,465193,454330,10863
"Kauai County, HI",2018,36100,35193,907
"Maui County, HI",2018,86137,84028,2109
"Ada County, ID",2018,244525,238510,6015
"Adams County, ID",2018,1722,1628,94
"Bannock County, ID",2018,41686,40547,1139
"Bear Lake County, ID",2018,2835,2753,82
"Benewah County, ID",2018,4021,3835,186
"Bingham County, ID",2018,23357,22724,633
"Blaine County, ID",2018,12323,12032,291
"Boise County, ID",2018,3329,3188,141
"Bonner County, ID",2018,19610,18807,803
"Bonneville County, ID",2018,55403,54077,1326
"Boundary County, ID",2018,5296,5061,235
"Butte County, ID",2018,1382,1338,44
"Camas County, ID",2018,690,674,16
"Canyon County, ID",2018,100275,97188,3087
"Caribou County, ID",2018,3831,3723,108
"Cassia County, ID",2018,11750,11488,262
"Clark County, ID",2018,405,393,12
"Clearwater County, ID",2018,2925,2728,197
"Custer County, ID",2018,2190,2102,88
"Elmore County, ID",2018,11416,11044,372
"Franklin County, ID",2018,6920,6772,148
"Fremont County, ID",2018,7781,7592,189
"Gem County, ID",2018,8141,7862,279
"Gooding County, ID",2018,8105,7910,195
"Idaho County, ID",2018,6426,6125,301
"Jefferson County, ID",2018,13488,13183,305
"Jerome County, ID",2018,11963,11659,304
"Kootenai County, ID",2018,77765,75065,2700
"Latah County, ID",2018,20267,19769,498
"Lemhi County, ID",2018,3511,3354,157
"Lewis County, ID",2018,1637,1547,90
"Lincoln County, ID",2018,2738,2646,92
"Madison County, ID",2018,21678,21304,374
"Minidoka County, ID",2018,11031,10753,278
"Nez Perce County, ID",2018,21053,20474,579
"Oneida County, ID",2018,2339,2288,51
"Owyhee County, ID",2018,5448,5252,196
"Payette County, ID",2018,11535,11122,413
"Power County, ID",2018,4090,3972,118
"Shoshone County, ID",2018,5068,4777,291
"Teton County, ID",2018,6407,6263,144
"Twin Falls County, ID",2018,40747,39651,1096
"Valley County, ID",2018,5313,5113,200
"Washington County, ID",2018,4632,4440,192
"Adams County, IL",2018,32893,31616,1277
"Alexander County, IL",2018,2153,1982,171
"Bond County, IL",2018,7929,7582,347
"Boone County, IL",2018,26473,24950,1523
"Brown County, IL",2018,2896,2818,78
"Bureau County, IL",2018,17390,16519,871
"Calhoun County, IL",2018,2340,2215,125
"Carroll County, IL",2018,7525,7190,335
"Cass County, IL",2018,6162,5885,277
