COUNTY,Year,LABOR_FORCE,EMPLOYED,UNEMPLOYED
"Champaign County, IL",2018,105669,101016,4653
"Christian County, IL",2018,14837,14052,785
"Clark County, IL",2018,7775,7373,402
"Clay County, IL",2018,6611,6260,351
"Clinton County, IL",2018,20378,19650,728
"Coles County, IL",2018,24195,23024,1171
"Cook County, IL",2018,2611512,2506103,105409
"Crawford County, IL",2018,8777,8307,470
"Cumberland County, IL",2018,6080,5834,246
"DeKalb County, IL",2018,55487,53047,2440
"De Witt County, IL",2018,7582,7197,385
"Douglas County, IL",2018,10212,9793,419
"DuPage County, IL",2018,508650,492726,15924
"Edgar County, IL",2018,9200,8770,430
"Edwards County, IL",2018,2779,2653,126
"Effingham County, IL",2018,19119,18403,716
"Fayette County, IL",2018,9810,9291,519
"Ford County, IL",2018,6334,6029,305
"Franklin County, IL",2018,17065,16016,1049
"Fulton County, IL",2018,15224,14273,951
"Gallatin County, IL",2018,2434,2294,140
"Greene County, IL",2018,6015,5720,295
"Grundy County, IL",2018,25255,24072,1183
"Hamilton County, IL",2018,4493,4297,196
"Hancock County, IL",2018,8469,8069,400
"Hardin County, IL",2018,1343,1238,105
"Henderson County, IL",2018,3664,3481,183
"Henry County, IL",2018,25083,23824,1259
"Iroquois County, IL",2018,14394,13749,645
"Jackson County, IL",2018,28137,26847,1290
"Jasper County, IL",2018,4617,4389,228
"Jefferson County, IL",2018,17661,16723,938
"Jersey County, IL",2018,11007,10473,534
"Jo Daviess County, IL",2018,10983,10501,482
"Johnson County, IL",2018,4100,3780,320
"Kane County, IL",2018,273901,260449,13452
"Kankakee County, IL",2018,55920,52888,3032
"Kendall County, IL",2018,67661,65281,2380
"Knox County, IL",2018,22203,21020,1183
"Lake County, IL",2018,378401,361302,17099
"LaSalle County, IL",2018,56230,52968,3262
"Lawrence County, IL",2018,5981,5629,352
"Lee County, IL",2018,17831,17043,788
"Livingston County, IL",2018,16610,15876,734
"Logan County, IL",2018,12852,12246,606
"McDonough County, IL",2018,13359,12675,684
"McHenry County, IL",2018,165849,160050,5799
"McLean County, IL",2018,87889,84209,3680
"Macon County, IL",2018,49961,47166,2795
"Macoupin County, IL",2018,23066,21934,1132
"Madison County, IL",2018,134575,128495,6080
"Marion County, IL",2018,17778,16899,879
"Marshall County, IL",2018,5510,5224,286
"Mason County, IL",2018,6318,5939,379
"Massac County, IL",2018,5748,5345,403
"Menard County, IL",2018,6689,6421,268
"Mercer County, IL",2018,8103,7675,428
"Monroe County, IL",2018,18595,17951,644
"Montgomery County, IL",2018,11891,11185,706
"Morgan County, IL",2018,16309,15590,719
"Moultrie County, IL",2018,7524,7235,289
"Ogle County, IL",2018,25289,24014,1275
"Peoria County, IL",2018,87398,82552,4846
"Perry County, IL",2018,8456,7951,505
"Piatt County, IL",2018,8430,8067,363
"Pike County, IL",2018,7256,6907,349
"Pope County, IL",2018,1751,1644,107
"Pulaski County, IL",2018,2055,1886,169
"Putnam County, IL",2018,3040,2881,159
"Randolph County, IL",2018,14202,13572,630
"Richland County, IL",2018,7455,7105,350
"Rock Island County, IL",2018,71847,68090,3757
"St. Clair County, IL",2018,127192,120769,6423
"Saline County, IL",2018,9879,9236,643
"Sangamon County, IL",2018,104949,100443,4506
"Schuyler County, IL",2018,3334,3185,149
"Scott County, IL",2018,2481,2348,133
"Shelby County, IL",2018,10725,10262,463
"Stark County, IL",2018,2587,2424,163
"Stephenson County, IL",2018,21904,20863,1041
"Tazewell County, IL",2018,65386,62196,3190
"Union County, IL",2018,7423,6943,480
"Vermilion County, IL",2018,33578,31504,2074
"Wabash County, IL",2018,5728,5473,255
"Warren County, IL",2018,8691,8324,367
"Washington County, IL",2018,9625,9335,290
"Wayne County, IL",2018,6949,6563,386
"White County, IL",2018,6685,6397,288
"Whiteside County, IL",2018,28466,27164,1302
"Will County, IL",2018,357226,342785,14441
"Williamson County, IL",2018,31873,30236,1637
"Winnebago County, IL",2018,141196,133101,8095
"Woodford County, IL",2018,19161,18379,782
"Adams County, IN",2018,17494,17038,456
"Allen County, IN",2018,184863,179032,5831
"Bartholomew County, IN",2018,45295,44110,1185
"Benton County, IN",2018,4574,4427,147
"Blackford County, IN",2018,5341,5135,206
"Boone County, IN",2018,35904,34933,971
"Brown County, IN",2018,7659,7416,243
"Carroll County, IN",2018,10264,9928,336
"Cass County, IN",2018,18296,17620,676
"Clark County, IN",2018,61620,59509,2111
"Clay County, IN",2018,12332,11850,482
"Clinton County, IN",2018,17200,16715,485
"Crawford County, IN",2018,4958,4736,222
"Daviess County, IN",2018,16531,16084,447
"Dearborn County, IN",2018,26132,25182,950
"Decatur County, IN",2018,14967,14519,448
"DeKalb County, IN",2018,22501,21865,636
"Delaware County, IN",2018,54159,51986,2173
"Dubois County, IN",2018,23357,22777,580
"Elkhart County, IN",2018,116267,113255,3012
"Fayette County, IN",2018,9203,8776,427
"Floyd County, IN",2018,41401,40026,1375
"Fountain County, IN",2018,8131,7837,294
"Franklin County, IN",2018,11395,10972,423
"Fulton County, IN",2018,9958,9620,338
"Gibson County, IN",2018,19475,18954,521
"Grant County, IN",2018,32239,30996,1243
"Greene County, IN",2018,13754,13145,609
"Hamilton County, IN",2018,181103,176224,4879
"Hancock County, IN",2018,39772,38566,1206
"Harrison County, IN",2018,20172,19474,698
"Hendricks County, IN",2018,88595,86041,2554
"Henry County, IN",2018,22475,21683,792
"Howard County, IN",2018,37645,36116,1529
"Huntington County, IN",2018,18376,17722,654
"Jackson County, IN",2018,22870,22219,651
"Jasper County, IN",2018,16509,15860,649
"Jay County, IN",2018,9843,9516,327
"Jefferson County, IN",2018,15100,14582,518
"Jennings County, IN",2018,13642,13145,497
"Johnson County, IN",2018,82164,79802,2362
"Knox County, IN",2018,18898,18283,615
"Kosciusko County, IN",2018,42697,41567,1130
"LaGrange County, IN",2018,20613,20098,515
"Lake County, IN",2018,232368,220886,11482
"LaPorte County, IN",2018,48027,45925,2102
"Lawrence County, IN",2018,21152,20339,813
"Madison County, IN",2018,59431,57126,2305
"Marion County, IN",2018,490706,473574,17132
"Marshall County, IN",2018,23481,22735,746
"Martin County, IN",2018,5214,5071,143
"Miami County, IN",2018,15892,15254,638
"Monroe County, IN",2018,69690,67180,2510
"Montgomery County, IN",2018,19157,18575,582
"Morgan County, IN",2018,36392,35160,1232
"Newton County, IN",2018,7117,6808,309
"Noble County, IN",2018,23666,22972,694
"Ohio County, IN",2018,3201,3089,112
"Orange County, IN",2018,8597,8264,333
"Owen County, IN",2018,9350,8943,407
"Parke County, IN",2018,7169,6883,286
"Perry County, IN",2018,9323,8979,344
"Pike County, IN",2018,6140,5926,214
"Porter County, IN",2018,86770,83434,3336
"Posey County, IN",2018,13731,13343,388
"Pulaski County, IN",2018,6528,6324,204
"Putnam County, IN",2018,16882,16245,637
"Randolph County, IN",2018,11614,11160,454
"Ripley County, IN",2018,14080,13573,507
"Rush County, IN",2018,9038,8778,260
"St. Joseph County, IN",2018,136728,131857,4871
"Scott County, IN",2018,10612,10197,415
"Shelby County, IN",2018,23195,22476,719
"Spencer County, IN",2018,10983,10623,360
"Starke County, IN",2018,10484,10030,454
"Steuben County, IN",2018,20351,19809,542
"Sullivan County, IN",2018,8616,8214,402
"Switzerland County, IN",2018,5096,4898,198
"Tippecanoe County, IN",2018,97693,94612,3081
"Tipton County, IN",2018,9238,8979,259
"Union County, IN",2018,3671,3556,115
"Vanderburgh County, IN",2018,95249,92211,3038
"Vermillion County, IN",2018,7169,6774,395
"Vigo County, IN",2018,49142,46989,2153
"Wabash County, IN",2018,14901,14381,520
"Warren County, IN",2018,4219,4083,136
"Warrick County, IN",2018,33148,32176,972
"Washington County, IN",2018,13767,13282,485
"Wayne County, IN",2018,31319,30193,1126
"Wells County, IN",2018,14396,13991,405
"White County, IN",2018,13639,13220,419
"Whitley County, IN",2018,17645,17141,504
"Adair County, IA",2018,4116,4018,98
"Adams County, IA",2018,2119,2078,41
"Allamakee County, IA",2018,7366,7140,226
"Appanoose County, IA",2018,5856,5662,194
"Audubon County, IA",2018,3116,3040,76
"Benton County, IA",2018,13356,12995,361
"Black Hawk County, IA",2018,68953,67044,1909
"Boone County, IA",2018,14816,14499,317
"Bremer County, IA",2018,13845,13564,281
"Buchanan County, IA",2018,11185,10899,286
"Buena Vista County, IA",2018,11349,11108,241
"Butler County, IA",2018,7833,7618,215
"Calhoun County, IA",2018,4290,4182,108
"Carroll County, IA",2018,10811,10609,202
"Cass County, IA",2018,7098,6908,190
"Cedar County, IA",2018,10759,10499,260
"Cerro Gordo County, IA",2018,23298,22691,607
"Cherokee County, IA",2018,5943,5815,128
"Chickasaw County, IA",2018,6407,6234,173
"Clarke County, IA",2018,4801,4665,136
"Clay County, IA",2018,8583,8310,273
"Clayton County, IA",2018,10133,9812,321
"Clinton County, IA",2018,22606,21878,728
"Crawford County, IA",2018,8122,7846,276
"Dallas County, IA",2018,47653,46835,818
"Davis County, IA",2018,4251,4138,113
"Decatur County, IA",2018,4322,4225,97
"Delaware County, IA",2018,10411,10196,215
"Des Moines County, IA",2018,19450,18816,634
"Dickinson County, IA",2018,9865,9554,311
"Dubuque County, IA",2018,55213,53880,1333
"Emmet County, IA",2018,5292,5147,145
"Fayette County, IA",2018,10572,10259,313
"Floyd County, IA",2018,8806,8569,237
"Franklin County, IA",2018,5783,5660,123
"Fremont County, IA",2018,3704,3635,69
"Greene County, IA",2018,5400,5278,122
"Grundy County, IA",2018,6544,6382,162
"Guthrie County, IA",2018,5570,5426,144
"Hamilton County, IA",2018,6936,6749,187
"Hancock County, IA",2018,5974,5836,138
"Hardin County, IA",2018,8248,8013,235
"Harrison County, IA",2018,7291,7130,161
"Henry County, IA",2018,9580,9343,237
"Howard County, IA",2018,5180,5049,131
"Humboldt County, IA",2018,5180,5050,130
"Ida County, IA",2018,4091,4011,80
"Iowa County, IA",2018,10407,10192,215
"Jackson County, IA",2018,10932,10631,301
"Jasper County, IA",2018,19266,18760,506
"Jefferson County, IA",2018,9203,8984,219
"Johnson County, IA",2018,85186,83551,1635
"Jones County, IA",2018,10484,10172,312
"Keokuk County, IA",2018,5088,4941,147
"Kossuth County, IA",2018,8514,8342,172
"Lee County, IA",2018,15996,15358,638
"Linn County, IA",2018,119524,116211,3313
"Louisa County, IA",2018,6075,5916,159
"Lucas County, IA",2018,4467,4378,89
"Lyon County, IA",2018,6949,6842,107
"Madison County, IA",2018,8397,8132,265
"Mahaska County, IA",2018,11695,11406,289
"Marion County, IA",2018,17849,17486,363
"Marshall County, IA",2018,18008,17210,798
"Mills County, IA",2018,7307,7156,151
"Mitchell County, IA",2018,5732,5625,107
"Monona County, IA",2018,4456,4333,123
"Monroe County, IA",2018,3898,3784,114
"Montgomery County, IA",2018,4923,4803,120
"Muscatine County, IA",2018,21734,21159,575
"O'Brien County, IA",2018,8111,7950,161
"Osceola County, IA",2018,3512,3444,68
"Page County, IA",2018,6377,6217,160
"Palo Alto County, IA",2018,4895,4788,107
"Plymouth County, IA",2018,14786,14507,279
"Pocahontas County, IA",2018,4311,4232,79
"Polk County, IA",2018,264356,257650,6706
"Pottawattamie County, IA",2018,47848,46733,1115
"Poweshiek County, IA",2018,10435,10193,242
"Ringgold County, IA",2018,2524,2454,70
"Sac County, IA",2018,5273,5148,125
"Scott County, IA",2018,86878,84311,2567
"Shelby County, IA",2018,6651,6519,132
"Sioux County, IA",2018,20433,20069,364
"Story County, IA",2018,57756,56840,916
"Tama County, IA",2018,9509,9228,281
"Taylor County, IA",2018,3227,3163,64
"Union County, IA",2018,6375,6149,226
"Van Buren County, IA",2018,3666,3567,99
"Wapello County, IA",2018,17604,17002,602
"Warren County, IA",2018,27637,27007,630
"Washington County, IA",2018,12123,11840,283
"Wayne County, IA",2018,2769,2693,76
"Webster County, IA",2018,19109,18487,622
"Winnebago County, IA",2018,4979,4850,129
"Winneshiek County, IA",2018,11775,11460,315
"Woodbury County, IA",2018,55149,53777,1372
"Worth County, IA",2018,4162,4049,113
"Wright County, IA",2018,6451,6284,167
"Allen County, KS",2018,6313,6059,254
"Anderson County, KS",2018,4133,3989,144
"Atchison County, KS",2018,6985,6662,323
"Barber County, KS",2018,2396,2334,62
"Barton County, KS",2018,13413,12970,443
"Bourbon County, KS",2018,7120,6822,298
"Brown County, KS",2018,5353,5190,163
"Butler County, KS",2018,31938,30833,1105
"Chase County, KS",2018,1484,1445,39
"Chautauqua County, KS",2018,1417,1360,57
"Cherokee County, KS",2018,10046,9669,377
"Cheyenne County, KS",2018,1313,1282,31
"Clark County, KS",2018,1065,1039,26
"Clay County, KS",2018,3791,3669,122
"Cloud County, KS",2018,3784,3651,133
"Coffey County, KS",2018,4030,3836,194
"Comanche County, KS",2018,882,860,22
"Cowley County, KS",2018,16735,16161,574
"Crawford County, KS",2018,18746,17996,750
"Decatur County, KS",2018,1251,1213,38
"Dickinson County, KS",2018,9142,8821,321
"Doniphan County, KS",2018,4181,4033,148
"Douglas County, KS",2018,65199,63204,1995
"Edwards County, KS",2018,1512,1475,37
"Elk County, KS",2018,1165,1126,39
"Ellis County, KS",2018,16868,16466,402
"Ellsworth County, KS",2018,2722,2646,76
"Finney County, KS",2018,20404,19890,514
"Ford County, KS",2018,17186,16743,443
"Franklin County, KS",2018,14029,13526,503
"Geary County, KS",2018,11492,10941,551
"Gove County, KS",2018,1436,1405,31
"Graham County, KS",2018,1121,1085,36
"Grant County, KS",2018,3340,3245,95
"Gray County, KS",2018,3437,3369,68
"Greeley County, KS",2018,855,838,17
"Greenwood County, KS",2018,3205,3089,116
"Hamilton County, KS",2018,1637,1605,32
"Harper County, KS",2018,2748,2669,79
"Harvey County, KS",2018,16864,16319,545
"Haskell County, KS",2018,2211,2163,48
"Hodgeman County, KS",2018,991,966,25
"Jackson County, KS",2018,7217,7001,216
"Jefferson County, KS",2018,10167,9836,331
"Jewell County, KS",2018,1287,1251,36
"Johnson County, KS",2018,336677,326954,9723
"Kearny County, KS",2018,2083,2034,49
"Kingman County, KS",2018,3409,3299,110
"Kiowa County, KS",2018,1306,1275,31
"Labette County, KS",2018,10272,9862,410
"Lane County, KS",2018,796,774,22
"Leavenworth County, KS",2018,36546,35216,1330
"Lincoln County, KS",2018,1684,1642,42
"Linn County, KS",2018,4448,4187,261
"Logan County, KS",2018,1670,1634,36
"Lyon County, KS",2018,16617,16030,587
"McPherson County, KS",2018,16312,15893,419
"Marion County, KS",2018,6041,5853,188
"Marshall County, KS",2018,5442,5299,143
"Meade County, KS",2018,2291,2243,48
"Miami County, KS",2018,17469,16840,629
"Mitchell County, KS",2018,3426,3348,78
"Montgomery County, KS",2018,14834,14194,640
"Morris County, KS",2018,2985,2902,83
"Morton County, KS",2018,1169,1131,38
"Nemaha County, KS",2018,5499,5373,126
"Neosho County, KS",2018,6010,5716,294
"Ness County, KS",2018,1329,1292,37
"Norton County, KS",2018,2746,2687,59
"Osage County, KS",2018,7945,7641,304
"Osborne County, KS",2018,2004,1951,53
"Ottawa County, KS",2018,3005,2918,87
"Pawnee County, KS",2018,2940,2847,93
"Phillips County, KS",2018,2800,2729,71
"Pottawatomie County, KS",2018,12278,11935,343
"Pratt County, KS",2018,4952,4815,137
"Rawlins County, KS",2018,1467,1436,31
"Reno County, KS",2018,29916,28841,1075
"Republic County, KS",2018,2401,2335,66
"Rice County, KS",2018,5287,5132,155
"Riley County, KS",2018,35429,34407,1022
"Rooks County, KS",2018,2522,2441,81
"Rush County, KS",2018,1660,1615,45
"Russell County, KS",2018,3352,3252,100
"Saline County, KS",2018,30094,29170,924
"Scott County, KS",2018,2858,2801,57
"Sedgwick County, KS",2018,246605,237249,9356
"Seward County, KS",2018,9554,9239,315
"Shawnee County, KS",2018,91125,87941,3184
"Sheridan County, KS",2018,1398,1366,32
"Sherman County, KS",2018,2894,2812,82
"Smith County, KS",2018,1946,1897,49
"Stafford County, KS",2018,1952,1899,53
"Stanton County, KS",2018,1010,984,26
"Stevens County, KS",2018,2655,2580,75
"Sumner County, KS",2018,10784,10403,381
"Thomas County, KS",2018,4230,4120,110
"Trego County, KS",2018,1381,1337,44
"Wabaunsee County, KS",2018,3648,3533,115
"Wallace County, KS",2018,819,798,21
"Washington County, KS",2018,2927,2847,80
"Wichita County, KS",2018,1265,1237,28
"Wilson County, KS",2018,4001,3825,176
"Woodson County, KS",2018,1594,1525,69
"Wyandotte County, KS",2018,77858,74105,3753
"Adair County, KY",2018,7246,6879,367
"Allen County, KY",2018,8969,8633,336
"Anderson County, KY",2018,11951,11520,431
"Ballard County, KY",2018,3583,3335,248
"Barren County, KY",2018,19141,18293,848
"Bath County, KY",2018,4648,4335,313
"Bell County, KY",2018,8513,7973,540
"Boone County, KY",2018,70741,68362,2379
"Bourbon County, KY",2018,9704,9317,387
"Boyd County, KY",2018,18099,17028,1071
"Boyle County, KY",2018,12612,12053,559
"Bracken County, KY",2018,3851,3664,187
"Breathitt County, KY",2018,3643,3377,266
"Breckinridge County, KY",2018,7990,7561,429
"Bullitt County, KY",2018,42322,40596,1726
"Butler County, KY",2018,5206,4953,253
"Caldwell County, KY",2018,5419,5163,256
"Calloway County, KY",2018,18864,18127,737
"Campbell County, KY",2018,50530,48865,1665
"Carlisle County, KY",2018,2311,2198,113
"Carroll County, KY",2018,5270,5053,217
"Carter County, KY",2018,9894,8982,912
"Casey County, KY",2018,6734,6420,314
"Christian County, KY",2018,24853,23549,1304
"Clark County, KY",2018,17202,16493,709
"Clay County, KY",2018,5221,4852,369
"Clinton County, KY",2018,3869,3657,212
"Crittenden County, KY",2018,3908,3706,202
"Cumberland County, KY",2018,3134,2994,140
"Daviess County, KY",2018,48018,46121,1897
"Edmonson County, KY",2018,4868,4610,258
"Elliott County, KY",2018,2070,1878,192
"Estill County, KY",2018,5325,5033,292
"Fayette County, KY",2018,174849,169048,5801
"Fleming County, KY",2018,6142,5808,334
"Floyd County, KY",2018,10907,10187,720
"Franklin County, KY",2018,25051,24115,936
"Fulton County, KY",2018,2048,1930,118
"Gallatin County, KY",2018,4073,3907,166
"Garrard County, KY",2018,7693,7352,341
"Grant County, KY",2018,11729,11223,506
"Graves County, KY",2018,15447,14670,777
"Grayson County, KY",2018,10995,10455,540
"Green County, KY",2018,5076,4858,218
"Greenup County, KY",2018,13459,12564,895
"Hancock County, KY",2018,4089,3919,170
"Hardin County, KY",2018,49149,47158,1991
"Harlan County, KY",2018,6554,6067,487
"Harrison County, KY",2018,8699,8339,360
"Hart County, KY",2018,8085,7763,322
"Henderson County, KY",2018,22154,21303,851
"Henry County, KY",2018,8183,7865,318
"Hickman County, KY",2018,1812,1708,104
"Hopkins County, KY",2018,19281,18429,852
"Jackson County, KY",2018,4117,3829,288
"Jefferson County, KY",2018,400587,384318,16269
"Jessamine County, KY",2018,26425,25465,960
"Johnson County, KY",2018,6763,6298,465
"Kenton County, KY",2018,87686,84661,3025
"Knott County, KY",2018,4425,4121,304
"Knox County, KY",2018,10114,9482,632
"Larue County, KY",2018,6075,5808,267
"Laurel County, KY",2018,24947,23679,1268
"Lawrence County, KY",2018,5085,4717,368
"Lee County, KY",2018,2033,1904,129
"Leslie County, KY",2018,2650,2462,188
"Letcher County, KY",2018,6316,5904,412
"Lewis County, KY",2018,4727,4331,396
"Lincoln County, KY",2018,9366,8895,471
"Livingston County, KY",2018,3702,3451,251
"Logan County, KY",2018,12453,11970,483
"Lyon County, KY",2018,3063,2907,156
"McCracken County, KY",2018,29386,27744,1642
"McCreary County, KY",2018,4654,4360,294
"McLean County, KY",2018,4285,4074,211
"Madison County, KY",2018,46892,45083,1809
"Magoffin County, KY",2018,2855,2477,378
"Marion County, KY",2018,9627,9263,364
"Marshall County, KY",2018,15078,14280,798
"Martin County, KY",2018,2788,2607,181
"Mason County, KY",2018,7254,6854,400
"Meade County, KY",2018,12319,11747,572
"Menifee County, KY",2018,2340,2162,178
"Mercer County, KY",2018,9871,9431,440
"Metcalfe County, KY",2018,4201,4028,173
"Monroe County, KY",2018,4728,4532,196
"Montgomery County, KY",2018,11663,10967,696
"Morgan County, KY",2018,4476,4193,283
"Muhlenberg County, KY",2018,10604,9890,714
"Nelson County, KY",2018,22711,21726,985
"Nicholas County, KY",2018,3287,3137,150
"Ohio County, KY",2018,9914,9348,566
"Oldham County, KY",2018,33270,32176,1094
"Owen County, KY",2018,5229,4974,255
"Owsley County, KY",2018,1171,1088,83
"Pendleton County, KY",2018,7058,6769,289
"Perry County, KY",2018,8245,7723,522
"Pike County, KY",2018,19933,18751,1182
"Powell County, KY",2018,5023,4724,299
"Pulaski County, KY",2018,25726,24421,1305
"Robertson County, KY",2018,815,775,40
"Rockcastle County, KY",2018,6693,6363,330
"Rowan County, KY",2018,10706,10153,553
"Russell County, KY",2018,6270,5906,364
"Scott County, KY",2018,28607,27661,946
"Shelby County, KY",2018,24920,24052,868
"Simpson County, KY",2018,8836,8493,343
"Spencer County, KY",2018,10061,9694,367
"Taylor County, KY",2018,12494,11959,535
"Todd County, KY",2018,5312,5100,212
"Trigg County, KY",2018,6001,5717,284
"Trimble County, KY",2018,3893,3726,167
"Union County, KY",2018,6039,5739,300
"Warren County, KY",2018,64400,62028,2372
"Washington County, KY",2018,6201,5969,232
"Wayne County, KY",2018,7598,7064,534
"Webster County, KY",2018,5862,5616,246
"Whitley County, KY",2018,13920,13224,696
"Wolfe County, KY",2018,1904,1758,146
"Woodford County, KY",2018,14793,14336,457
"Acadia Parish, LA",2018,23952,22665,1287
"Allen Parish, LA",2018,8784,8290,494
"Ascension Parish, LA",2018,62979,60370,2609
"Assumption Parish, LA",2018,8941,8345,596
"Avoyelles Parish, LA",2018,15313,14437,876
"Beauregard Parish, LA",2018,14542,13769,773
"Bienville Parish, LA",2018,5670,5339,331
"Bossier Parish, LA",2018,57620,55156,2464
"Caddo Parish, LA",2018,104778,99027,5751
"Calcasieu Parish, LA",2018,109878,105683,4195
"Caldwell Parish, LA",2018,3826,3607,219
"Cameron Parish, LA",2018,4057,3914,143
"Catahoula Parish, LA",2018,3381,3151,230
"Claiborne Parish, LA",2018,5779,5476,303
"Concordia Parish, LA",2018,6956,6467,489
"De Soto Parish, LA",2018,10754,10136,618
"East Baton Rouge Parish, LA",2018,232663,222618,10045
"East Carroll Parish, LA",2018,1962,1759,203
"East Feliciana Parish, LA",2018,8008,7634,374
"Evangeline Parish, LA",2018,12061,11364,697
"Franklin Parish, LA",2018,7311,6790,521
"Grant Parish, LA",2018,8071,7595,476
"Iberia Parish, LA",2018,28639,26964,1675
"Iberville Parish, LA",2018,14190,13312,878
"Jackson Parish, LA",2018,6839,6524,315
"Jefferson Parish, LA",2018,215064,205660,9404
"Jefferson Davis Parish, LA",2018,13510,12873,637
"Lafayette Parish, LA",2018,113337,108265,5072
"Lafourche Parish, LA",2018,41816,39835,1981
"LaSalle Parish, LA",2018,6289,6013,276
"Lincoln Parish, LA",2018,21791,20653,1138
"Livingston Parish, LA",2018,67916,65165,2751
"Madison Parish, LA",2018,3627,3326,301
"Morehouse Parish, LA",2018,10193,9360,833
"Natchitoches Parish, LA",2018,16527,15566,961
"Orleans Parish, LA",2018,178845,169891,8954
"Ouachita Parish, LA",2018,70364,66703,3661
"Plaquemines Parish, LA",2018,9992,9530,462
"Pointe Coupee Parish, LA",2018,9999,9463,536
"Rapides Parish, LA",2018,55281,52346,2935
"Red River Parish, LA",2018,4033,3854,179
"Richland Parish, LA",2018,8318,7799,519
"Sabine Parish, LA",2018,9009,8542,467
"St. Bernard Parish, LA",2018,19519,18541,978
"St. Charles Parish, LA",2018,24916,23822,1094
"St. Helena Parish, LA",2018,4329,4045,284
"St. James Parish, LA",2018,9327,8751,576
"St. John the Baptist Parish, LA",2018,19641,18524,1117
"St. Landry Parish, LA",2018,31933,29941,1992
"St. Martin Parish, LA",2018,22399,21226,1173
"St. Mary Parish, LA",2018,20103,18778,1325
"St. Tammany Parish, LA",2018,117656,112728,4928
"Tangipahoa Parish, LA",2018,54353,51374,2979
"Tensas Parish, LA",2018,1460,1347,113
"Terrebonne Parish, LA",2018,46432,44109,2323
"Union Parish, LA",2018,9153,8634,519
"Vermilion Parish, LA",2018,24196,22920,1276
"Vernon Parish, LA",2018,16040,14983,1057
"Washington Parish, LA",2018,16835,15867,968
"Webster Parish, LA",2018,14668,13771,897
"West Baton Rouge Parish, LA",2018,13528,12927,601
"West Carroll Parish, LA",2018,3890,3532,358
"West Feliciana Parish, LA",2018,5334,5122,212
"Winn Parish, LA",2018,4925,4616,309
"Androscoggin County, ME",2018,55449,53621,1828
"Aroostook County, ME",2018,31085,29589,1496
"Cumberland County, ME",2018,165409,160973,4436
"Franklin County, ME",2018,14471,13890,581
"Hancock County, ME",2018,29407,28291,1116
"Kennebec County, ME",2018,62541,60517,2024
"Knox County, ME",2018,20584,19921,663
"Lincoln County, ME",2018,16988,16420,568
"Oxford County, ME",2018,26683,25618,1065
"Penobscot County, ME",2018,77127,74207,2920
"Piscataquis County, ME",2018,7467,7156,311
"Sagadahoc County, ME",2018,19440,18913,527
"Somerset County, ME",2018,22888,21787,1101
"Waldo County, ME",2018,21250,20501,749
"Washington County, ME",2018,13961,13274,687
"York County, ME",2018,113999,110544,3455
"Allegany County, MD",2018,31984,30220,1764
"Anne Arundel County, MD",2018,309603,299260,10343
"Baltimore County, MD",2018,450366,432164,18202
"Calvert County, MD",2018,49121,47382,1739
"Caroline County, MD",2018,18028,17340,688
"Carroll County, MD",2018,94339,91277,3062
"Cecil County, MD",2018,52632,50315,2317
"Charles County, MD",2018,85104,81805,3299
"Dorchester County, MD",2018,15347,14548,799
"Frederick County, MD",2018,130831,126233,4598
"Garrett County, MD",2018,15410,14673,737
"Harford County, MD",2018,138162,133157,5005
"Howard County, MD",2018,183889,178360,5529
"Kent County, MD",2018,10254,9810,444
"Montgomery County, MD",2018,554989,537429,17560
"Prince George's County, MD",2018,504423,483850,20573
"Queen Anne's County, MD",2018,27379,26462,917
"St. Mary's County, MD",2018,55295,53193,2102
"Somerset County, MD",2018,9353,8709,644
"Talbot County, MD",2018,19562,18829,733
"Washington County, MD",2018,74742,71493,3249
"Wicomico County, MD",2018,51041,48365,2676
"Worcester County, MD",2018,25525,23475,2050
"Baltimore city, MD",2018,289758,273304,16454
"Barnstable County, MA",2018,116225,111251,4974
