,CBSA,MNAME,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,APTA_CLUSTER,TNC_CLUSTER,TRIPS_SHARE_2017
117,26980,"Iowa City, IA Metro Area",2017,171491,4/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
118,27140,"Jackson, MS Metro Area",2017,578794,12/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
119,27340,"Jacksonville, NC Metro Area",2017,193893,10/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
120,27500,"Janesville-Beloit, WI Metro Area",2017,162309,12/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
121,27740,"Johnson City, TN Metro Area",2017,203462,8/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
122,28020,"Kalamazoo-Portage, MI Metro Area",2017,338338,10/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
123,46060,"Tucson, AZ Metro Area",2017,1022769,10/1/13,2013,2014,1,Mid Op-Ex,22,0.19781483611270845
124,23420,"Fresno, CA Metro Area",2017,989255,2/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
125,28660,"Killeen-Temple, TX Metro Area",2017,442693,7/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
126,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",2017,305914,9/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
127,28940,"Knoxville, TN Metro Area",2017,877874,8/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
128,29140,"Lafayette-West Lafayette, IN Metro Area",2017,218769,7/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
129,29180,"Lafayette, LA Metro Area",2017,491558,2/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
130,29460,"Lakeland-Winter Haven, FL Metro Area",2017,686483,3/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
131,46520,"Urban Honolulu, HI Metro Area",2017,988650,8/1/13,2013,2014,1,Mid Op-Ex,22,0.19781483611270845
132,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2017,949921,4/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
133,29740,"Las Cruces, NM Metro Area",2017,215579,9/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
134,49340,"Worcester, MA-CT Metro Area",2017,942475,8/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
135,29940,"Lawrence, KS Metro Area",2017,120793,6/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
136,30140,"Lebanon, PA Metro Area",2017,139754,6/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
137,30460,"Lexington-Fayette, KY Metro Area",2017,512650,7/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
138,30700,"Lincoln, NE Metro Area",2017,331592,1/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
139,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",2017,738082,11/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
140,10740,"Albuquerque, NM Metro Area",2017,913113,5/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
141,31180,"Lubbock, TX Metro Area",2017,318011,7/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
142,31340,"Lynchburg, VA Metro Area",2017,260116,12/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
143,31420,"Macon-Bibb County, GA Metro Area",2017,229258,5/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
144,31700,"Manchester-Nashua, NH Metro Area",2017,409697,10/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
145,31740,"Manhattan, KS Metro Area",2017,98080,6/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
146,35300,"New Haven-Milford, CT Metro Area",2017,860435,5/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
147,32900,"Merced, CA Metro Area",2017,272673,11/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
148,33140,"Michigan City-La Porte, IN Metro Area",2017,110029,5/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
149,33260,"Midland, TX Metro Area",2017,169643,6/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
150,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",2017,854223,5/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
151,33540,"Missoula, MT Metro Area",2017,117441,8/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
152,33660,"Mobile, AL Metro Area",2017,413955,6/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
153,33700,"Modesto, CA Metro Area",2017,547899,5/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
154,33860,"Montgomery, AL Metro Area",2017,373889,2/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
155,34060,"Morgantown, WV Metro Area",2017,138709,7/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
156,34620,"Muncie, IN Metro Area",2017,115184,9/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
157,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",2017,464165,8/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
158,34900,"Napa, CA Metro Area",2017,140973,4/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
159,34940,"Naples-Immokalee-Marco Island, FL Metro Area",2017,372880,12/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
160,21340,"El Paso, TX Metro Area",2017,842677,7/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
161,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2017,840550,2/1/15,2015,2016,1,Mid Op-Ex,22,0.19781483611270845
162,35840,"North Port-Sarasota-Bradenton, FL Metro Area",2017,804690,12/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
163,19380,"Dayton, OH Metro Area",2017,803416,10/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
164,35980,"Norwich-New London, CT Metro Area",2017,269033,2/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
165,36100,"Ocala, FL Metro Area",2017,354353,9/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
166,36140,"Ocean City, NJ Metro Area",2017,93553,5/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
167,36220,"Odessa, TX Metro Area",2017,157087,10/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
168,44700,"Stockton-Lodi, CA Metro Area",2017,745424,9/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
169,10420,"Akron, OH Metro Area",2017,703505,12/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
170,36260,"Ogden-Clearfield, UT Metro Area",2017,666547,3/1/15,2015,2016,1,Mid Op-Ex,22,0.19781483611270845
171,36540,"Omaha-Council Bluffs, NE-IA Metro Area",2017,934184,6/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
172,36780,"Oshkosh-Neenah, WI Metro Area",2017,170414,11/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
173,31540,"Madison, WI Metro Area",2017,654230,3/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
174,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",2017,589162,12/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
175,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",2017,487784,1/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
176,37900,"Peoria, IL Metro Area",2017,373637,11/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
177,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2017,649202,12/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
178,38940,"Port St. Lucie, FL Metro Area",2017,473429,3/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
179,44140,"Springfield, MA Metro Area",2017,631652,1/1/15,2015,2016,1,Mid Op-Ex,22,0.19781483611270845
180,39340,"Provo-Orem, UT Metro Area",2017,617678,4/1/15,2015,2016,1,Mid Op-Ex,22,0.19781483611270845
181,39380,"Pueblo, CO Metro Area",2017,166475,9/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
182,39460,"Punta Gorda, FL Metro Area",2017,182033,10/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
183,39540,"Racine, WI Metro Area",2017,196071,11/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
184,25420,"Harrisburg-Carlisle, PA Metro Area",2017,571903,2/1/15,2015,2016,1,Mid Op-Ex,22,0.19781483611270845
185,39740,"Reading, PA Metro Area",2017,417854,5/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
186,39820,"Redding, CA Metro Area",2017,179921,3/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
187,20500,"Durham-Chapel Hill, NC Metro Area",2017,567428,6/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
188,44060,"Spokane-Spokane Valley, WA Metro Area",2017,564291,6/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
189,29540,"Lancaster, PA Metro Area",2017,542903,4/1/15,2015,2016,1,Mid Op-Ex,22,0.19781483611270845
190,40220,"Roanoke, VA Metro Area",2017,312688,11/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
191,38860,"Portland-South Portland, ME Metro Area",2017,532083,10/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
192,40420,"Rockford, IL Metro Area",2017,338291,3/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
193,29620,"Lansing-East Lansing, MI Metro Area",2017,477656,8/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
194,41100,"St. George, UT Metro Area",2017,165662,7/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
195,39900,"Reno, NV Metro Area",2017,465208,9/1/15,2015,2016,1,Mid Op-Ex,22,0.19781483611270845
196,42060,"Santa Maria-Santa Barbara, CA Metro Area",2017,448150,10/1/13,2013,2014,1,Mid Op-Ex,22,0.19781483611270845
197,41540,"Salisbury, MD-DE Metro Area",2017,405853,5/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
198,41500,"Salinas, CA Metro Area",2017,437907,8/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
199,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",2017,283405,7/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
200,42140,"Santa Fe, NM Metro Area",2017,148750,3/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
201,42220,"Santa Rosa, CA Metro Area",2017,504217,5/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
202,42340,"Savannah, GA Metro Area",2017,387543,5/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
203,42540,"Scranton-Wilkes-Barre-Hazleton, PA Metro Area",2017,555426,2/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
204,42680,"Sebastian-Vero Beach, FL Metro Area",2017,154383,8/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
205,43780,"South Bend-Mishawaka, IN-MI Metro Area",2017,321815,10/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
206,43900,"Spartanburg, SC Metro Area",2017,334391,7/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
207,45940,"Trenton, NJ Metro Area",2017,374733,5/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
208,44100,"Springfield, IL Metro Area",2017,207596,2/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
209,11460,"Ann Arbor, MI Metro Area",2017,367627,4/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
210,44180,"Springfield, MO Metro Area",2017,461469,11/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
211,44300,"State College, PA Metro Area",2017,162660,2/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
212,14500,"Boulder, CO Metro Area",2017,322514,2/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
213,28420,"Kennewick-Richland, WA Metro Area",2017,290296,12/1/16,2016,2017,1,Mid Op-Ex,22,0.19781483611270845
214,45220,"Tallahassee, FL Metro Area",2017,385473,9/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
215,36500,"Olympia-Tumwater, WA Metro Area",2017,280588,6/1/15,2015,2016,1,Mid Op-Ex,22,0.19781483611270845
216,45780,"Toledo, OH Metro Area",2017,603668,11/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
217,45820,"Topeka, KS Metro Area",2017,233149,11/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
218,42100,"Santa Cruz-Watsonville, CA Metro Area",2017,275897,6/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
219,12100,"Atlantic City-Hammonton, NJ Metro Area",2017,269918,5/1/14,2014,2015,1,Mid Op-Ex,22,0.19781483611270845
220,46140,"Tulsa, OK Metro Area",2017,990773,4/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
221,46220,"Tuscaloosa, AL Metro Area",2017,242279,8/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
222,46340,"Tyler, TX Metro Area",2017,227727,9/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
223,14740,"Bremerton-Silverdale, WA Metro Area",2017,266414,5/1/16,2016,2017,1,Mid Op-Ex,22,0.19781483611270845
224,46700,"Vallejo-Fairfield, CA Metro Area",2017,445458,11/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
225,47220,"Vineland-Bridgeton, NJ Metro Area",2017,152538,10/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
226,16580,"Champaign-Urbana, IL Metro Area",2017,241000,2/1/15,2015,2016,1,Mid Op-Ex,22,0.19781483611270845
227,47300,"Visalia-Porterville, CA Metro Area",2017,464493,6/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
228,47380,"Waco, TX Metro Area",2017,267554,1/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
229,47580,"Warner Robins, GA Metro Area",2017,192766,6/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
230,48620,"Wichita, KS Metro Area",2017,646542,9/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
231,48700,"Williamsport, PA Metro Area",2017,113841,11/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
232,48900,"Wilmington, NC Metro Area",2017,288156,7/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
233,49020,"Winchester, VA-WV Metro Area",2017,139223,9/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
234,49180,"Winston-Salem, NC Metro Area",2017,667733,8/1/14,2014,2015,1,Low Op-Ex,22,0.19781483611270845
235,12700,"Barnstable Town, MA Metro Area",2017,213444,5/1/15,2015,2016,1,Mid Op-Ex,22,0.19781483611270845
236,49420,"Yakima, WA Metro Area",2017,250193,12/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
237,49620,"York-Hanover, PA Metro Area",2017,446078,7/1/15,2015,2016,1,Low Op-Ex,22,0.19781483611270845
238,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",2017,541926,6/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
239,49700,"Yuba City, CA Metro Area",2017,173679,4/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
240,49740,"Yuma, AZ Metro Area",2017,207534,3/1/16,2016,2017,1,Low Op-Ex,22,0.19781483611270845
