,Id2,Geography,Tot_Pop,MSA_NAME_CLUSTERS,CBSA_NAME,CBSA_ID,cbsa_name,State,Month,Link,TNC_ARRIVAL
0,10180,"Abilene, TX Metro Area",164941,,,,,,,,2016.0
1,10420,"Akron, OH Metro Area",702951,Akron,"Akron, OH",10420.0,"Akron, OH",OH,Aug,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,2014.0
2,10500,"Albany, GA Metro Area",162659,Albany,"Albany, GA",10500.0,"Albany, GA",GA,Mar,https://www.walb.com/story/35150573/uber-drivers/,2017.0
3,10580,"Albany-Schenectady-Troy, NY Metro Area",870832,Albany-Schenectady-Troy,"Albany-Schenectady-Troy, NY",10580.0,"Albany-Schenectady-Troy, NY",NY,June,https://www.democratandchronicle.com/story/news/politics/albany/2017/06/27/uber-lyft-launch-thursday/103237788/,2017.0
4,10740,"Albuquerque, NM Metro Area",892014,Albuquerque,"Albuquerque, NM",10740.0,"Albuquerque, NM",NM,Apr,http://www.bizjournals.com/albuquerque/news/2014/04/30/uber-follows-lyft-to-albuquerque.html,2014.0
5,10780,"Alexandria, LA Metro Area",154120,,,,,,,,2016.0
6,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",822141,Allentown-Bethlehem-Easton,"Allentown-Bethlehem-Easton, PA-NJ",10900.0,"Allentown-Bethlehem-Easton, PA-NJ",PA-NJ,Jan,https://www.mcall.com/business/mc-pa-uber-lehigh-valley-20150130-10-story.html,2015.0
7,11020,"Altoona, PA Metro Area",127031,Altoona,"Altoona, PA",11020.0,"Altoona, PA",PA,Aug,https://www.pennlive.com/news/2016/08/uber_expands_ride-hailing_serv.html,2016.0
8,11100,"Amarillo, TX Metro Area",251915,,,,,,,,2016.0
9,11180,"Ames, IA Metro Area",89575,Ames,"Ames, IA",11180.0,"Ames, IA",IA,Aug,https://newsroom.uber.com/iowa/ames_launch/,2015.0
10,11260,"Anchorage, AK Metro Area",382964,Anchorage,"Anchorage, AK",11260.0,"Anchorage, AK",AK,June,https://www.adn.com/business-economy/2017/06/15/uber-and-lyft-are-arriving-in-alaska-heres-what-you-need-to-know/,2017.0
11,11300,"Anderson, IN Metro Area",131642,,,,,,,,2016.0
12,11340,"Anderson, SC Metro Area",187269,,,,,,,,2016.0
13,11460,"Ann Arbor, MI Metro Area",345290,Ann Arbor,"Ann Arbor, MI",11460.0,"Ann Arbor, MI",MI,Apr,http://www.mlive.com/news/ann-arbor/index.ssf/2014/04/app-driven_ride_service_uber_e.html,2014.0
14,11500,"Anniston-Oxford, AL Metro Area",118510,,,,,,,,2016.0
15,11540,"Appleton, WI Metro Area",225952,Appleton,"Appleton, WI",11540.0,"Appleton, WI",WI,Sep,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=10&cad=rja&uact=8&ved=2ahUKEwjKtseu28zkAhVQmK0KHRhPBkoQFjAJegQIAxAB&url=https%3A%2F%2Fwww.wearegreenbay.com%2Fnews%2Flocal-news%2Fuber-begins-service-in-appleton%2F228828991&usg=AOvVaw21-YV3631q_ag8WT9bf8Gl,2015.0
16,11700,"Asheville, NC Metro Area",422752,,,,,,,,2016.0
17,12020,"Athens-Clarke County, GA Metro Area",192738,Athens-Clarke County,"Athens-Clarke County, GA",12020.0,"Athens-Clarke County, GA",GA,Aug,http://flagpole.com/news/in-the-loop/uber-is-here,2014.0
18,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5288302,Atlanta-Sandy Springs-Roswell,"Atlanta-Sandy Springs-Roswell, GA",12060.0,"Atlanta-Sandy Springs-Marietta, GA",GA,Aug,https://newsroom.uber.com/atlanta/uber-atlanta-launches-spottieottiedopaliscious/,2012.0
19,12100,"Atlantic City-Hammonton, NJ Metro Area",274685,,,,,,,,2016.0
20,12220,"Auburn-Opelika, AL Metro Area",140780,,,,,,,,2016.0
21,12260,"Augusta-Richmond County, GA-SC Metro Area",560293,Augusta-Richmond County,"Augusta-Richmond County, GA-SC",12260.0,"Augusta-Richmond County, GA-SC",GA-SC,Apr,http://chronicle.augusta.com/news/business/2015-04-06/uber-ride-sharing-begins-augusta,2015.0
22,12420,"Austin-Round Rock-San Marcos, TX Metro Area",1728307,Austin-Round Rock,"Austin-Round Rock, TX",12420.0,"Austin-Round Rock-San Marcos, TX",TX,Jun,http://kxan.com/2014/06/04/uber-launches-in-austin-despite-official-ban/,2014.0
23,12540,"Bakersfield-Delano, CA Metro Area",842207,Bakersfield,"Bakersfield, CA",12540.0,"Bakersfield-Delano, CA",CA,Jun,https://newsroom.uber.com/central-coast/bakersfield-your-uber-is-arriving-now/,2014.0
24,12580,"Baltimore-Towson, MD Metro Area",2714183,Baltimore-Columbia-Towson,"Baltimore-Columbia-Towson, MD",12580.0,"Baltimore-Towson, MD",MD,Feb,http://technical.ly/baltimore/2013/02/01/uber-baltimore-on-demand-car-service-officially-launches-will-be-available-all-day-super-bowl-sunday/,2013.0
25,12620,"Bangor, ME Metro Area",153849,,,,,,,,2016.0
26,12700,"Barnstable Town, MA Metro Area",215937,,,,,,,,2016.0
27,12940,"Baton Rouge, LA Metro Area",804406,Baton Rouge,"Baton Rouge, LA",12940.0,"Baton Rouge, LA",LA,Jul,http://theadvocate.com/home/9697616-125/ride-share-service-launches-br-service,2014.0
28,12980,"Battle Creek, MI Metro Area",136072,,,,,,,,2016.0
29,13020,"Bay City, MI Metro Area",107703,Bay City,"Bay City, MI",13020.0,"Bay City, MI",MI,Mar,https://www.mlive.com/news/saginaw/2017/03/uber_now_serving_saginaw_bay_c.html,2017.0
30,13140,"Beaumont-Port Arthur, TX Metro Area",389068,Beaumont-Port Arthur,"Beaumont-Port Arthur, TX",13140.0,"Beaumont-Port Arthur, TX",TX,Nov,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=2ahUKEwjI84OvzczkAhUKKawKHXdnAUQQFjABegQIBBAB&url=https%3A%2F%2Fwww.beaumontenterprise.com%2Fnews%2Farticle%2FUber-rolls-into-Beaumont-6656662.php&usg=AOvVaw3pKyx034DIlIw7arGkSZlu,2015.0
31,13380,"Bellingham, WA Metro Area",201628,Bellingham,"Bellingham, WA",13380.0,"Bellingham, WA",WA,Nov,http://www.bellinghamherald.com/news/local/article45677118.html,2015.0
32,13460,"Bend, OR Metro Area",157894,,,,,,,,2016.0
33,13740,"Billings, MT Metro Area",157365,Billings,"Billings, MT",13740.0,"Billings, MT",MT,Aug,https://billingsgazette.com/business/uber-launches-ride-sharing-service-friday-in-billings/article_1db60c4c-bca6-51cc-8479-227610f195d1.html,2016.0
34,13780,"Binghamton, NY Metro Area",251321,Binghamton,"Binghamton, NY",13780.0,"Binghamton, NY",NY,Feb,https://www.businessinsider.com/uber-launches-in-birmingham-2015-2,2015.0
35,13820,"Birmingham-Hoover, AL Metro Area",1128978,Birmingham-Hoover,"Birmingham-Hoover, AL",13820.0,"Birmingham-Hoover, AL",AL,Dec,http://www.bizjournals.com/birmingham/news/2015/12/29/uber-to-start-operations-in-birmingham-this-week.html,2015.0
36,13900,"Bismarck, ND Metro Area",109266,,,,,,,,2016.0
37,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",161768,Blacksburg-Christiansburg-Radford,"Blacksburg-Christiansburg-Radford, VA",13980.0,"Blacksburg-Christiansburg-Radford, VA",VA,Aug,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=2ahUKEwjmmP7c2MzkAhUMD60KHUf9ChkQFjABegQIChAF&url=https%3A%2F%2Fwww.roanoke.com%2Fnews%2Flocal%2Fuber-launches-ride-sharing-service-in-roanoke-blacksburg%2Farticle_55a6cafb-2c15-5b78-bf4e-438d6531a18b.html&usg=AOvVaw23cha40l1QJMTa3Bemar8C,2014.0
38,14020,"Bloomington, IN Metro Area",192696,Bloomington,"Bloomington, IN",14020.0,"Bloomington, IN",IN,Aug,https://indianapublicmedia.org/news/uber-ridesharing-launches-bloomington-71260/,2014.0
39,14060,"Bloomington-Normal, IL Metro Area",169832,Bloomington,"Bloomington, IL",14060.0,"Bloomington-Normal, IL",IL,Feb,https://www.uber.com/blog/illinois/uber-is-arriving-now-in-bloomington-normal/,2015.0
40,14260,"Boise City-Nampa, ID Metro Area",619694,Boise City,"Boise City, ID",14260.0,"Boise City-Nampa, ID",ID,Oct,https://www.uber.com/blog/idaho/uber-launches-in-boise-with-free-rides/,2014.0
41,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4560689,Boston-Cambridge-Newton,"Boston-Cambridge-Newton, MA-NH",14460.0,"Boston-Cambridge-Quincy, MA-NH",MA-NH,Sep,http://www.bizjournals.com/boston/blog/mass_roundup/2012/09/uber-taxi-in-boston.html,2012.0
42,14500,"Boulder, CO Metro Area",295166,,,,,,,,2016.0
43,14540,"Bowling Green, KY Metro Area",127280,,,,,,,,2016.0
44,14740,"Bremerton-Silverdale, WA Metro Area",251809,Bremerton-Silverdale,"Bremerton-Silverdale, WA",14740.0,"Bremerton-Silverdale, WA",WA,Sep,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwiamuq82czkAhUMOK0KHWX8ByEQFjAAegQIAhAB&url=http%3A%2F%2Farchive.kitsapsun.com%2Fnews%2Flocal%2Fuber-arrives-in-kitsap-ep-1297769390-354356631.html%2F&usg=AOvVaw2eo_FHXVBvyRUEQ9pP8WFt,2015.0
45,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",918714,Bridgeport-Stamford-Norwalk,"Bridgeport-Stamford-Norwalk, CT",14860.0,"Bridgeport-Stamford-Norwalk, CT",CT,April ,https://www.stamfordadvocate.com/printpromotion/article/Despite-controversy-Uber-takes-off-in-Stamford-6293347.php,2014.0
46,15180,"Brownsville-Harlingen, TX Metro Area",408054,Brownsville-Harlingen,"Brownsville-Harlingen, TX",15180.0,"Brownsville-Harlingen, TX",TX,July,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwi59ZG7zczkAhUHca0KHfMsDxoQFjAAegQIARAB&url=https%3A%2F%2Fwww.brownsvilleherald.com%2Fnews%2Fvalley%2Fuber-to-begin-services-in-valley%2Farticle_cc628a5c-5f8d-11e7-accd-0702b9e785e6.html&usg=AOvVaw1IUfLAN3Q-8zYdSJV5vNl_,2017.0
47,15260,"Brunswick, GA Metro Area",107890,,,,,,,,2016.0
48,15380,"Buffalo-Niagara Falls, NY Metro Area",1135198,Buffalo-Cheektowaga-Niagara Falls,"Buffalo-Cheektowaga-Niagara Falls, NY",15380.0,"Buffalo-Niagara Falls, NY",NY,May,https://blog.lyft.com/posts/2014/4/23/lyft-launches-24-cities-in-24-hours-on-the-24th,2014.0
49,15500,"Burlington, NC Metro Area",151528,,,,,,,,2016.0
50,15540,"Burlington-South Burlington, VT Metro Area",211035,Burlington-South Burlington,"Burlington-South Burlington, VT",15540.0,"Burlington-South Burlington, VT",VT,Oct,http://www.burlingtonfreepress.com/story/news/local/2014/10/09/uber-officially-comes-burlington/16966319/,2014.0
51,15940,"Canton-Massillon, OH Metro Area",403238,Canton-Massillon,"Canton-Massillon, OH",15940.0,"Canton-Massillon, OH",OH,Aug,https://www.cantonrep.com/article/20141011/NEWS/141009134,2014.0
52,15980,"Cape Coral-Fort Myers, FL Metro Area",620151,Cape Coral-Fort Myers,"Cape Coral-Fort Myers, FL",15980.0,"Cape Coral-Fort Myers, FL",FL,December ,https://www.nbc-2.com/story/27543597/uber-to-launch-in-fort-myers-on-thursday,2014.0
53,16020,"Cape Girardeau-Jackson, MO-IL Metro Area",98062,,,,,,,,2016.0
54,16180,"Carson City, NV Metro Area",55226,,,,,,,,2016.0
55,16220,"Casper, WY Metro Area",75507,,,,,,,,2016.0
56,16300,"Cedar Rapids, IA Metro Area",258223,Cedar Rapids,"Cedar Rapids, IA",16300.0,"Cedar Rapids, IA",IA,Dec,https://newsroom.uber.com/iowa/uber-launching-in-cedar-rapids-with-free-rides/,2014.0
57,16580,"Champaign-Urbana, IL Metro Area",234445,Champaign-Urbana,"Champaign-Urbana, IL",16580.0,"Champaign-Urbana, IL",IL,Feb,https://newsroom.uber.com/illinois/uber-is-rolling-into-champaign-urbana/,2015.0
58,16620,"Charleston, WV Metro Area",304571,Charleston,"Charleston, WV",16620.0,"Charleston, WV",WV,Jul,https://newsroom.uber.com/us-south-carolina/south-carolina-your-uberx-is-arriving-now/,2014.0
59,16700,"Charleston-North Charleston-Summerville, SC Metro Area",667741,Charleston-North Charleston,"Charleston-North Charleston, SC",16700.0,"Charleston-North Charleston-Summerville, SC",SC,Jul,https://newsroom.uber.com/us-south-carolina/south-carolina-your-uberx-is-arriving-now/,2014.0
60,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",1764313,Charlotte-Concord-Gastonia,"Charlotte-Concord-Gastonia, NC-SC",16740.0,"Charlotte-Gastonia-Rock Hill, NC-SC",NC-SC,Sep,http://www.bizjournals.com/charlotte/blog/bank_notes/2013/09/inside-scoop-uber-arrives-in.html,2013.0
61,16820,"Charlottesville, VA Metro Area",199776,,,,,,,,2016.0
62,16860,"Chattanooga, TN-GA Metro Area",530205,Chattanooga,"Chattanooga, GA",16860.0,"Chattanooga, TN-GA",GA,Nov,https://newsroom.uber.com/us-tennessee/chattanooga-your-uber-is-arriving-now/,2014.0
63,16940,"Cheyenne, WY Metro Area",92127,,,,,,,,2016.0
64,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",9474211,Chicago-Naperville-Elgin,"Chicago-Naperville-Elgin, IL-WI",16980.0,"Chicago-Joliet-Naperville, IL-IN-WI",IL-WI,Sep,http://techcrunch.com/2011/09/22/uber-brings-its-disruptive-car-service-to-chicago/,2011.0
65,17020,"Chico, CA Metro Area",220072,Chico,"Chico, CA",17020.0,"Chico, CA",CA,October ,https://krcrtv.com/news/butte-county/uber-rolls-into-chico_20160513174711150,2015.0
66,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2133203,Cincinnati,"Cincinnati, OH-IN",17140.0,"Cincinnati-Middletown, OH-KY-IN",OH-IN,Mar,https://newsroom.uber.com/us-ohio/uber-cincinnati-launches-with-free-rides-for-2-weeks/,2014.0
67,17300,"Clarksville, TN-KY Metro Area",274695,,,,,,,,2016.0
68,17420,"Cleveland, TN Metro Area",115716,,,,,,,,2016.0
69,17460,"Cleveland-Elyria-Mentor, OH Metro Area",2075758,Cleveland-Elyria,"Cleveland-Elyria, OH",17460.0,"Cleveland-Elyria-Mentor, OH",OH,Apr,https://newsroom.uber.com/us-ohio/uber-cleveland-launches-with-free-rides-for-2-weeks/,2014.0
70,17660,"Coeur d'Alene, ID Metro Area",138901,,,,,,,,2016.0
71,17780,"College Station-Bryan, TX Metro Area",230141,College Station-Bryan,"College Station-Bryan, TX",17780.0,"College Station-Bryan, TX",TX,Aug,http://kagstv.com/News/KAGSNews/ID/4561/Uber-Makes-Its-Debut-In-College-Station-Students-Excited,2014.0
72,17820,"Colorado Springs, CO Metro Area",648943,Colorado Springs,"Colorado Springs, CO",17820.0,"Colorado Springs, CO",CO,April,https://gazette.com/business/uber-starts-colorado-springs-ride-sharing-service-on-heels-of/article_59038ad8-63ce-521a-943b-f222e9ab55de.html,2014.0
73,17860,"Columbia, MO Metro Area",172319,Columbia,"Columbia, MO",17860.0,"Columbia, MO",MO,Oct,https://newsroom.uber.com/uber-launching-columbia-with-free-rides/,2014.0
74,17900,"Columbia, SC Metro Area",770410,Columbia,"Columbia, SC",17900.0,"Columbia, SC",SC,Oct,https://newsroom.uber.com/us-south-carolina/south-carolina-your-uberx-is-arriving-now/,2014.0
75,17980,"Columbus, GA-AL Metro Area",292141,,,,,,,,2016.0
76,18020,"Columbus, IN Metro Area",76855,,,,,,,,2016.0
77,18140,"Columbus, OH Metro Area",1840631,Columbus,"Columbus, OH",18140.0,"Columbus, OH",OH,Oct,http://www.dispatch.com/content/blogs/crawlumbus/2013/10/uber-launching-in-columbus.html,2013.0
78,18580,"Corpus Christi, TX Metro Area",428217,Corpus Christi,"Corpus Christi, TX",18580.0,"Corpus Christi, TX",TX,May,https://newsroom.uber.com/us-texas/cheers-corpus-christi-your-uberx-has-arrived/,2014.0
79,18700,"Corvallis, OR Metro Area",85575,Corvallis,"Corvallis, OR",18700.0,"Corvallis, OR",OR,Sep,http://kval.com/news/local/uber-launches-corvallis-service-wednesday-sept-20,2017.0
80,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",180728,Crestview-Fort Walton Beach-Destin,"Crestview-Fort Walton Beach-Destin, FL",18880.0,"Crestview-Fort Walton Beach-Destin, FL",FL,Sep,https://www.wjhg.com/content/news/Uber-starting-service-at-VPS-394177191.html,2016.0
81,19060,"Cumberland, MD-WV Metro Area",103239,,,,,,,,2016.0
82,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6402922,Dallas-Fort Worth-Arlington,"Dallas-Fort Worth-Arlington, TX",19100.0,"Dallas-Fort Worth-Arlington, TX",TX,,https://www.dmagazine.com/publications/d-magazine/2016/october/which-ride-sharing-app-works-best-in-dallas/,2012.0
83,19140,"Dalton, GA Metro Area",142493,,,,,,,,2016.0
84,19180,"Danville, IL Metro Area",81551,,,,,,,,2016.0
85,19260,"Danville, VA Metro Area",106416,,,,,,,,2016.0
86,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",382382,Davenport-Moline-Rock Island,"Davenport-Moline-Rock Island, IA-IL",19340.0,"Davenport-Moline-Rock Island, IA-IL",IA-IL,Jul,https://wqad.com/2015/07/21/uber-launches-ride-sharing-app-in-the-quad-cities/,2015.0
87,19380,"Dayton, OH Metro Area",841310,Dayton,"Dayton, OH",19380.0,"Dayton, OH",OH,Aug,http://www.daytondailynews.com/news/business/uber-to-offer-vehicle-for-hire-service-in-dayton/nhBJZ/,2014.0
88,19460,"Decatur, AL Metro Area",153968,,,,,,,,2016.0
89,19500,"Decatur, IL Metro Area",110715,Decatur,"Decatur, IL",19500.0,"Decatur, IL",IL,Feb,https://herald-review.com/news/local/decatur-welcomes-arrival-of-ride-sharing-service-uber/article_98c2a173-c25c-5f6c-b681-bd74c904038b.html,2017.0
90,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",494527,Deltona-Daytona Beach-Ormond Beach,"Deltona-Daytona Beach-Ormond Beach, FL",19660.0,"Deltona-Daytona Beach-Ormond Beach, FL",FL,Dec,https://www.theledger.com/news/20141204/smartphone-app-uber-car-service-launches-in-the-lakeland-area/1,2014.0
91,19740,"Denver-Aurora-Broomfield, CO Metro Area",2560529,Denver-Aurora-Lakewood,"Denver-Aurora-Lakewood, CO",19740.0,"Denver-Aurora-Broomfield, CO",CO,Sep,https://newsroom.uber.com/denver/denver-launch-sky-high-in-the-mile-high-city/,2012.0
92,19780,"Des Moines-West Des Moines, IA Metro Area",570358,Des Moines-West Des Moines,"Des Moines-West Des Moines, IA",19780.0,"Des Moines-West Des Moines, IA",IA,Sep,https://newsroom.uber.com/uber-launching-des-moines-with-free-rides-for-a-week/,2014.0
93,19820,"Detroit-Warren-Livonia, MI Metro Area",4291843,Detroit-Warren-Dearborn,"Detroit-Warren-Dearborn, MI",19820.0,"Detroit-Warren-Livonia, MI",MI,Oct,https://newsroom.uber.com/detroit/partner_earnings/,2013.0
94,20020,"Dothan, AL Metro Area",146010,,,,,,,,2016.0
95,20100,"Dover, DE Metro Area",162912,,,,,,,,2016.0
96,20220,"Dubuque, IA Metro Area",93880,,,,,,,,2016.0
97,20260,"Duluth, MN-WI Metro Area",280035,Duluth,"Duluth, MN-WI",20260.0,"Duluth, MN-WI",MN-WI,May,https://www.duluthnewstribune.com/business/4259489-uber-launches-duluth,2017.0
98,20500,"Durham-Chapel Hill, NC Metro Area",505933,Durham-Chapel Hill,"Durham-Chapel Hill, NC",20500.0,"Durham-Chapel Hill, NC",NC,Jun,https://www.charlotteobserver.com/news/business/article9135194.html,2014.0
99,20740,"Eau Claire, WI Metro Area",161443,Eau Claire,"Eau Claire, WI",20740.0,"Eau Claire, WI",WI,May,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwjo27_H28zkAhUFDKwKHY81BxcQFjAAegQIARAB&url=https%3A%2F%2Fchippewa.com%2Fuber-riding-into-area%2Farticle_4341cd9f-42ef-5590-b5c2-3bdb7f5062e5.html&usg=AOvVaw1OHUiu051TTGUhn2T2Dswa,2017.0
100,20940,"El Centro, CA Metro Area",175234,El Centro,"El Centro, CA",20940.0,"El Centro, CA",CA,January,https://www.uber.com/blog/san-diego/imperial-county-your-uber-has-arrived/,2015.0
101,21340,"El Paso, TX Metro Area",804338,El Paso,"El Paso, TX",21340.0,"El Paso, TX",TX,Jun,http://elpaso411.com/2014/06/uber-launches-in-el-paso/,2014.0
102,21060,"Elizabethtown, KY Metro Area",122347,Elizabethtown-Fort Knox,"Elizabethtown-Fort Knox, KY",21060.0,"Elizabethtown, KY",KY,,,2016.0
103,21140,"Elkhart-Goshen, IN Metro Area",197646,Elkhart-Goshen,"Elkhart-Goshen, IN",21140.0,"Elkhart-Goshen, IN",IN,,,2016.0
104,21300,"Elmira, NY Metro Area",88824,,,,,,,,2016.0
105,21500,"Erie, PA Metro Area",280686,Erie,"Erie, PA",21500.0,"Erie, PA",PA,Apr,http://www.erienewsnow.com/story/28767725/uber-ride-share-app-launching-in-erie,2015.0
106,21660,"Eugene-Springfield, OR Metro Area",351983,Eugene,"Eugene, OR",21660.0,"Eugene-Springfield, OR",OR,Sep,https://www.registerguard.com/news/20180830/uber-set-to-launch-in-eugene-next-thursday,2018.0
107,21780,"Evansville, IN-KY Metro Area",357948,Evansville,"Evansville, IN-KY",21780.0,"Evansville, IN-KY",IN-KY,Jan,https://www.courierpress.com/story/news/local/2017/01/25/uber-kicks-off-evansville/97009642/,2017.0
108,21820,"Fairbanks, AK Metro Area",98314,,,,,,,,2016.0
109,22020,"Fargo, ND-MN Metro Area",209144,Fargo,"Fargo, ND-MN",22020.0,"Fargo, ND-MN",ND-MN,May,http://hpr1.com/index.php/feature/news/uber-launches-in-fargo/,2015.0
110,22140,"Farmington, NM Metro Area",130145,,,,,,,,2016.0
111,22180,"Fayetteville, NC Metro Area",367733,Fayetteville,"Fayetteville, NC",22180.0,"Fayetteville, NC",NC,Jun,https://newsroom.uber.com/us-north-carolina/uber-rolls-into-six-more-north-carolina-cities/,2014.0
112,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",465780,Fayetteville-Springdale-Rogers,"Fayetteville-Springdale-Rogers, MO",22220.0,"Fayetteville-Springdale-Rogers, AR-MO",MO,Sep,http://www.uatrav.com/news/article_1dc69eea-3874-11e4-a7ce-0017a43b2370.html,2014.0
113,22380,"Flagstaff, AZ Metro Area",134651,Flagstaff,"Flagstaff, AZ",22380.0,"Flagstaff, AZ",AZ,Sep,https://newsroom.uber.com/flagstaff/uber-launches-flagstaff-with-free-rides/,2014.0
114,22420,"Flint, MI Metro Area",424926,Flint,"Flint, MI",22420.0,"Flint, MI",MI,Jul,http://nbc25news.com/news/local/ride-sharing-service-uber-launches-in-flint?id=1074670,2014.0
115,22500,"Florence, SC Metro Area",205705,,,,,,,,2016.0
116,22520,"Florence-Muscle Shoals, AL Metro Area",147112,,,,,,,,2016.0
117,22540,"Fond du Lac, WI Metro Area",101665,,,,,,,,2016.0
118,22660,"Fort Collins-Loveland, CO Metro Area",300637,Fort Collins,"Fort Collins, CO",22660.0,"Fort Collins-Loveland, CO",CO,August ,https://www.denverpost.com/2014/08/27/boulder-fort-collins-see-launch-of-uber/,2014.0
119,22900,"Fort Smith, AR-OK Metro Area",299749,,,,,,,,2016.0
