Metropolitan Statistical Area,State,Month,Year,Link,,
Anchorage,AK,June,2017,https://www.adn.com/business-economy/2017/06/15/uber-and-lyft-are-arriving-in-alaska-heres-what-you-need-to-know/,,
Birmingham-Hoover,AL,Dec,2015,http://www.bizjournals.com/birmingham/news/2015/12/29/uber-to-start-operations-in-birmingham-this-week.html,,
Huntsville,AL,March,2016,https://whnt.com/2016/03/03/uber-huntsville-launches-friday-at-4-p-m/,,
Mobile,AL,Jun,2015,https://newsroom.uber.com/al/algulfcoast/,,
Montgomery,AL,February ,2016,https://www.al.com/news/montgomery/2016/01/montgomery_approves_uber_could.html,,
Little Rock-North Little Rock-Conway,AR,Nov,2014,https://newsroom.uber.com/arkansas/little-rock-your-uber-is-arriving-now/,,
Tucson,AZ,Oct,2013,https://www.facebook.com/events/592842194106758,,
Flagstaff,AZ,Sep,2014,https://newsroom.uber.com/flagstaff/uber-launches-flagstaff-with-free-rides/,,
Phoenix-Mesa-Scottsdale,AZ,Nov,2012,http://aztechbeat.com/2012/11/uber-launches-its-on-demand-driving-service-publicly-in-phoenix/,,
Fresno,CA,Feb,2014,https://newsroom.uber.com/sf/49685/,,
Bakersfield,CA,Jun,2014,https://newsroom.uber.com/central-coast/bakersfield-your-uber-is-arriving-now/,,
El Centro,CA,January,2015,https://www.uber.com/blog/san-diego/imperial-county-your-uber-has-arrived/,,
Modesto,CA,Apr,2014,https://newsroom.uber.com/sf/modesto-were-moving-in/,,
Napa,CA,May ,2014,https://www.pressdemocrat.com/business/4697304-181/uber-targets-tourists-in-wine,,
Oxnard-Thousand Oaks-Ventura,CA,Jul,2014,https://newsroom.uber.com/central-coast/san-luis-obispo-and-ventura-county-your-uber-has-arrived-2/,,
Salinas,CA,February ,2014,http://www.montereycountyweekly.com/news/local_news/popular-ride-share-company-uber-hits-monterey-county/article_937233da-9431-11e3-afe0-001a4bcf6878.html,,
San Luis Obispo-Paso Robles-Arroyo Grande,CA,Jul,2014,http://www.keyt.com/news/uber-now-in-san-luis-obispo/27014206,,
Santa Cruz-Watsonville,CA,April,2014,http://www.santacruztechbeat.com/2014/04/09/uber-announces-santa-cruz-launch-techraising-partnership/,,
Santa Maria-Santa Barbara,CA,Oct,2013,https://newsroom.uber.com/central-coast/uber-has-offically-launched-in-santa-barbara/,,
Santa Rosa,CA,May,2014,https://www.northbaybusinessjournal.com/industrynews/4185096-181/uber-transit-startup-expands-into,,
Stockton-Lodi,CA,May,2014,https://www.recordnet.com/article/20140502/a_biz/405020308,,
Vallejo-Fairfield,CA,,,,,
Chico,CA,October ,2015,https://krcrtv.com/news/butte-county/uber-rolls-into-chico_20160513174711150,,
Hanford-Corcoran,CA,,,,,
Merced,CA,,,,,
Redding,CA,February,2016,https://www.techwire.net/news/uber-service-arrives-in-redding.html,,
Yuba City,CA,,,,,
Riverside-San Bernardino-Ontario,CA,May,2014,,,
Sacramento--Roseville--Arden-Arcade,CA,Feb,2013,https://newsroom.uber.com/sacramento/uber-and-sacramento-a-romance-for-the-ages/,,
San Diego-Carlsbad,CA,Jun,2012,http://techcrunch.com/2012/06/08/uber-san-diego-launch/,,
San Jose-Sunnyvale-Santa Clara,CA,,,,,
Los Angeles-Long Beach-Anaheim,CA,Mar,2012,https://newsroom.uber.com/la/uber-la-officially-launched/,,
San Francisco-Oakland-Hayward,CA,May,2010,https://newsroom.uber.com/ubers-founding/,,
Pueblo,CO,,,,,
Colorado Springs,CO,April,2014,https://gazette.com/business/uber-starts-colorado-springs-ride-sharing-service-on-heels-of/article_59038ad8-63ce-521a-943b-f222e9ab55de.html,,
Fort Collins,CO,August ,2014,https://www.denverpost.com/2014/08/27/boulder-fort-collins-see-launch-of-uber/,,
Denver-Aurora-Lakewood,CO,Sep,2012,https://newsroom.uber.com/denver/denver-launch-sky-high-in-the-mile-high-city/,,
Bridgeport-Stamford-Norwalk,CT,April ,2014,https://www.stamfordadvocate.com/printpromotion/article/Despite-controversy-Uber-takes-off-in-Stamford-6293347.php,,
Hartford-West Hartford-East Hartford,CT,April ,2014,,,
New Haven-Milford,CT,April ,2014,,,
Worcester,CT,Oct,2014,https://newsroom.uber.com/boston/worcester-your-uber-is-arriving/,,
Torrington,CT,,,,,
Washington-Arlington-Alexandria,DC-MD-VA-WV,December,2011,https://techcrunch.com/2011/12/15/uberdc/,,
Philadelphia-Camden-Wilmington,DE-PA-MD,Jun,2012,http://techcrunch.com/2012/06/06/after-a-month-of-stealthy-testing-uber-officially-launches-in-philadelphia/,,
Philadelphia-Camden-Wilmington,DE-PA-MD,Jun,2014,http://learn.huify.com/blog/uber-launched-in-wilmington-nc-today-june-26,,
Naples-Immokalee-Marco Island,FL,December,2014,,,
North Port-Sarasota-Bradenton,FL,Dec,2014,https://newsroom.uber.com/florida/uber-florida-is-expanding-across-the-sunshine-state-3/,,
Orlando-Kissimmee-Sanford,FL,Jun,2014,https://newsroom.uber.com/florida/orlando-your-uber-is-arriving-now/,,
Tampa-St. Petersburg-Clearwater,FL,,2014,https://www.theledger.com/news/20141204/smartphone-app-uber-car-service-launches-in-the-lakeland-area/1,,
Cape Coral-Fort Myers,FL,December ,2014,https://www.nbc-2.com/story/27543597/uber-to-launch-in-fort-myers-on-thursday,,
Crestview-Fort Walton Beach-Destin,FL,Sep,2016,https://www.wjhg.com/content/news/Uber-starting-service-at-VPS-394177191.html,,
Deltona-Daytona Beach-Ormond Beach,FL,Dec,2014,https://www.theledger.com/news/20141204/smartphone-app-uber-car-service-launches-in-the-lakeland-area/1,,
Gainesville,FL,Aug,2014,http://www.wcjb.com/local-news/2014/08/uber-officially-gainesville,,
Jacksonville,FL,Jan,2014,https://newsroom.uber.com/jacksonville/jacksonville-your-uber-is-arriving-now/,,
Lakeland-Winter Haven,FL,Dec,2014,https://www.theledger.com/news/20141204/smartphone-app-uber-car-service-launches-in-the-lakeland-area/1,,
Ocala,FL,Dec,2014,https://newsroom.uber.com/florida/uber-florida-is-expanding-across-the-sunshine-state-3/,,
Palm Bay-Melbourne-Titusville,FL,Dec,2014,https://www.floridatoday.com/story/money/business/2014/12/11/uber-car-service-arrives-brevard-amidst-controversy/20267879/,,
Panama City,FL,Mar,2017,https://www.wjhg.com/content/news/Uber-launching-in-Bay-County-on-Friday-415830343.html,,
Pensacola-Ferry Pass-Brent,FL,Dec,2014,https://newsroom.uber.com/florida/uber-florida-is-expanding-across-the-sunshine-state-3/,,
Port St. Lucie,FL,,,,,
Sebastian-Vero Beach,FL,,,,,
Tallahassee,FL,Aug,2014,http://www.tallahassee.com/story/news/money/2014/08/28/uber-technologies-brings-ride-service-to-tallahassee/14764623/,,
Miami-Fort Lauderdale-West Palm Beach,FL,Jun,2014,http://www.miaminewtimes.com/news/uberx-will-launch-in-miami-today-defying-miami-dades-taxi-laws-6533024,,
Albany,GA,Mar,2017,https://www.walb.com/story/35150573/uber-drivers/,,
Athens-Clarke County,GA,Aug,2014,http://flagpole.com/news/in-the-loop/uber-is-here,,
Chattanooga,GA,Nov,2014,https://newsroom.uber.com/us-tennessee/chattanooga-your-uber-is-arriving-now/,,
Rome,GA,,,,,
Savannah,GA,May,2015,https://www.bizjournals.com/atlanta/morning_call/2015/06/uber-launch-in-savannah-angers-city-taxi-owners.html,,
Atlanta-Sandy Springs-Roswell,GA,Aug,2012,https://newsroom.uber.com/atlanta/uber-atlanta-launches-spottieottiedopaliscious/,,
Augusta-Richmond County,GA-SC,Apr,2015,http://chronicle.augusta.com/news/business/2015-04-06/uber-ride-sharing-begins-augusta,,
Urban Honolulu,HI,,,,,
Kahului-Wailuku-Lahaina,HI,,,,,
Ames,IA,Aug,2015,https://newsroom.uber.com/iowa/ames_launch/,,
Cedar Rapids,IA,Dec,2014,https://newsroom.uber.com/iowa/uber-launching-in-cedar-rapids-with-free-rides/,,
Des Moines-West Des Moines,IA,Sep,2014,https://newsroom.uber.com/uber-launching-des-moines-with-free-rides-for-a-week/,,
Iowa City,IA,Apr,2016,https://www.press-citizen.com/story/news/local/2016/04/28/uber-launches-iowa-city/83619436/,,
Omaha-Council Bluffs,IA,May,2014,https://newsroom.uber.com/omaha/omaha-your-uber-has-arrived/,,
Davenport-Moline-Rock Island,IA-IL,Jul,2015,https://wqad.com/2015/07/21/uber-launches-ride-sharing-app-in-the-quad-cities/,,
Boise City,ID,Oct,2014,https://www.uber.com/blog/idaho/uber-launches-in-boise-with-free-rides/,,
Logan,ID,Feb,2017,https://www.cachevalleydaily.com/news/archive/2017/02/22/33425a3c-f877-11e6-8ee3-1f9c7a0d37dd/,,
Champaign-Urbana,IL,Feb,2015,https://newsroom.uber.com/illinois/uber-is-rolling-into-champaign-urbana/,,
Decatur,IL,Feb,2017,https://herald-review.com/news/local/decatur-welcomes-arrival-of-ride-sharing-service-uber/article_98c2a173-c25c-5f6c-b681-bd74c904038b.html,,
Bloomington,IL,Feb,2015,https://www.uber.com/blog/illinois/uber-is-arriving-now-in-bloomington-normal/,,
Bloomington,IN,Aug,2014,https://indianapublicmedia.org/news/uber-ridesharing-launches-bloomington-71260/,,
Kankakee,IL,Jun,2015,https://www.daily-journal.com/news/local/uber-arrives-in-kankakee-county/article_1595059f-ebb3-5789-af09-b53a66fc7c4c.html,,
Peoria,IL,Nov,2015,https://www.pjstar.com/article/20151124/news/151129745,,
Rockford,IL,Feb,2015,http://www.wifr.com/home/headlines/Ride-Sharing-Program-Uber-Launches-in-Rockford-292033211.html,,
Springfield,IL,Jan,2015,https://newsroom.uber.com/illinois/springfield-you-uber-is-arriving-now/,,
Chicago-Naperville-Elgin,IL-WI,Sep,2011,http://techcrunch.com/2011/09/22/uber-brings-its-disruptive-car-service-to-chicago/,,
Louisville/Jefferson County,IN,May,2014,https://blog.lyft.com/posts/2014/4/23/lyft-launches-24-cities-in-24-hours-on-the-24th,,
Elkhart-Goshen,IN,,,,,
Indianapolis-Carmel-Anderson,IN,Jun,2013,https://newsroom.uber.com/indianapolis/hi-indianapolis-your-uber-is-arriving-now/,,
Fort Wayne,IN,May,2015,http://wane.com/2015/05/07/uber-taxi-service-now-available-in-fort-wayne/,,
Kokomo,IN,,,,,
Lafayette-West Lafayette,IN,Jan,2015,http://theadvocate.com/news/11470712-123/uber-launches-ride-share-service-in,,
Muncie,IN,Mar,2015,https://www.thestarpress.com/story/news/local/2015/03/26/global-rideshare-app-uber-launching-muncie/70500334/,,
Terre Haute,IN,Mar,2017,https://www.tribstar.com/news/local_news/uber-comes-to-terre-haute/article_7de3bc67-400b-5d14-afb8-0429ba8eca77.html,,
Evansville,IN-KY,Jan,2017,https://www.courierpress.com/story/news/local/2017/01/25/uber-kicks-off-evansville/97009642/,,
South Bend-Mishawaka,IN-MI,Aug,2015,https://drive.uber.com/in/cities/south-bend/,,
Kansas City,KS,May,2014,https://newsroom.uber.com/kc/kc-your-uber-has-arrived-and-its-free/,,
Lawrence,KS,Apr,2015,http://www.kansas.com/news/politics-government/article19297086.html,,
Wichita,KS,Aug,2014,http://www.kake.com/home/headlines/Uber-arrives-in-Wichita-273053761.html,,
Topeka,KS,Apr,2015,http://www2.ljworld.com/news/2015/apr/23/uber-expands-service-lawrence-other-kansas-cities/,,
Lexington-Fayette,KY,Jun,2014,https://newsroom.uber.com/lexington/uber-lexington-launches-with-free-rides-for-2-weeks/,,
Elizabethtown-Fort Knox,KY,,,,,
New Orleans-Metairie,LA,Apr,2015,https://newsroom.uber.com/louisiana/uberx-and-uberxl-launch-in-new-orleans/,,
Baton Rouge,LA,Jul,2014,http://theadvocate.com/home/9697616-125/ride-share-service-launches-br-service,,
Lafayette,LA,Jan,2015,http://theadvocate.com/news/11470712-123/uber-launches-ride-share-service-in,,
Shreveport-Bossier City,LA,Feb,2018,https://www.shreveporttimes.com/story/news/2018/02/14/uber-launch-thursday-shreveport/337493002/,,
Gulfport-Biloxi-Pascagoula,LA-MS,Jul,2016,https://www.sunherald.com/news/local/article87168487.html,,
Pittsfield,MA,May,2017,https://www.uber.com/blog/boston/uber-in-the-berkshires/,,
Springfield,MA,Jan,2015,https://newsroom.uber.com/illinois/springfield-you-uber-is-arriving-now/,,
Springfield,MA,Jan,2015,https://newsroom.uber.com/illinois/springfield-you-uber-is-arriving-now/,,
Springfield,MO,Jan,2015,https://newsroom.uber.com/illinois/springfield-you-uber-is-arriving-now/,,
Springfield,MO,Jan,2015,https://newsroom.uber.com/illinois/springfield-you-uber-is-arriving-now/,,
Boston-Cambridge-Newton,MA-NH,Sep,2012,http://www.bizjournals.com/boston/blog/mass_roundup/2012/09/uber-taxi-in-boston.html,,
Baltimore-Columbia-Towson,MD,Feb,2013,http://technical.ly/baltimore/2013/02/01/uber-baltimore-on-demand-car-service-officially-launches-will-be-available-all-day-super-bowl-sunday/,,
Baltimore-Columbia-Towson,MD,Oct,2014,https://newsroom.uber.com/uber-launching-columbia-with-free-rides/,,
Baltimore-Columbia-Towson,MD,Jul,2014,https://newsroom.uber.com/us-south-carolina/south-carolina-your-uberx-is-arriving-now/,,
Portland-South Portland,ME,Oct,2014,https://newsroom.uber.com/maine/portland-your-uber-is-arriving-now/,,
Portland-South Portland,ME,Dec,2014,http://www.theverge.com/2014/12/5/7342981/uber-launches-in-portland-oregon-despite-being-completely-illegal-there,,
Ann Arbor,MI,Apr,2014,http://www.mlive.com/news/ann-arbor/index.ssf/2014/04/app-driven_ride_service_uber_e.html,,
Detroit-Warren-Dearborn,MI,Oct,2013,https://newsroom.uber.com/detroit/partner_earnings/,,
Flint,MI,Jul,2014,http://nbc25news.com/news/local/ride-sharing-service-uber-launches-in-flint?id=1074670,,
Saginaw,MI,Mar,2017,https://www.mlive.com/news/saginaw/2017/03/uber_now_serving_saginaw_bay_c.html,,
Grand Rapids-Wyoming,MI,Jul,2014,http://www.mlive.com/news/grand-rapids/index.ssf/2014/07/uber_in_grand_rapids_rideshari.html,,
Bay City,MI,Mar,2017,https://www.mlive.com/news/saginaw/2017/03/uber_now_serving_saginaw_bay_c.html,,
Holland,MI,June,2017,https://whtc.com/news/articles/2017/jun/16/uber-is-here-along-lakeshore/,,
Jackson,MI,Dec,2014,https://newsroom.uber.com/jackson-your-uberx-is-arriving-now/,,
Kalamazoo-Portage,MI,Jul,2014,http://www.usatoday.com/story/money/business/2014/07/25/uber-michigan/13174947/,,
Lansing-East Lansing,MI,Jul,2014,http://www.wilx.com/home/headlines/Uber-Launches-Ride-Share-Service-In-Lansing-Area-268528422.html,,
Niles-Benton Harbor,MI,June,2017,https://www.heraldpalladium.com/news/local/a-year-later-with-uber/article_36eff7fb-08bc-5d46-be25-d537168a3354.html,,
St. Cloud,MN,Feb,2017,https://www.sctimes.com/story/news/local/2017/02/25/lyft-finally-comes-st-cloud/98364990/,,
Rochester,MN,Mar,2017,https://www.uber.com/blog/minneapolis/uber-launches-rochester-st-cloud-mankato/,,
Minneapolis-St. Paul-Bloomington,MN-WI,Oct,2012,https://thenextweb.com/insider/2012/10/25/uber-minnesota-twin-cities/,,
Duluth,MN-WI,May,2017,https://www.duluthnewstribune.com/business/4259489-uber-launches-duluth,,
Columbia,MO,Oct,2014,https://newsroom.uber.com/uber-launching-columbia-with-free-rides/,,
Columbia,MO,Jul,2014,https://newsroom.uber.com/us-south-carolina/south-carolina-your-uberx-is-arriving-now/,,
Fayetteville-Springdale-Rogers,MO,Sep,2014,http://www.uatrav.com/news/article_1dc69eea-3874-11e4-a7ce-0017a43b2370.html,,
Fayetteville-Springdale-Rogers,MO,Jun,2014,https://newsroom.uber.com/us-north-carolina/uber-rolls-into-six-more-north-carolina-cities/,,
St. Louis,MO-IL,May,2017,https://fox2now.com/2015/09/21/uber-x-starts-operations-in-st-louis-area/,,
Jackson,MS,Dec,2014,https://newsroom.uber.com/jackson-your-uberx-is-arriving-now/,,
Greenville-Anderson-Mauldin,MS-SC,Jul,2014,https://newsroom.uber.com/us-south-carolina/south-carolina-your-uberx-is-arriving-now/,,
Billings,MT,Aug,2016,https://billingsgazette.com/business/uber-launches-ride-sharing-service-friday-in-billings/article_1db60c4c-bca6-51cc-8479-227610f195d1.html,,
Missoula,MT,Aug,2016,https://missoulian.com/news/local/uber-coming-to-missoula-aug/article_d1d20338-6eba-5340-a547-496972f85db4.html,,
Great Falls,MT,Aug ,2016,http://www.greatfallstribune.com/story/news/local/2016/08/06/uber-launches-ride-sharing-billings/88347926/,,
Raleigh,NC,May,2014,https://blog.lyft.com/posts/2014/4/23/lyft-launches-24-cities-in-24-hours-on-the-24th,,
Virginia Beach-Norfolk-Newport News,NC,May,2014,https://blog.lyft.com/posts/2014/4/23/lyft-launches-24-cities-in-24-hours-on-the-24th,,
Durham-Chapel Hill,NC,Jun,2014,https://www.charlotteobserver.com/news/business/article9135194.html,,
Fayetteville,NC,Sep,2014,http://www.uatrav.com/news/article_1dc69eea-3874-11e4-a7ce-0017a43b2370.html,,
