,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2599,"Muncie, IN Metro Area-Bus",2004,0,31,1279847.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1279847.085,1279847.085,1279847.085,1279847.085,1279847.085,1279847.085,1279847.085,1279847.085,1279847.085,1279847.085,1279847.085,1279847.085,1279847.085
2600,"Muncie, IN Metro Area-Bus",2005,0,31,1488252.9319999998,58096.57294,20101.7801,11818.14847,-10233.35555,29174.13095,-896.1285513,2555.7297280000003,0.0,0.0,0.0,0.0,0.0,94896.47551,58096.57294,20101.7801,11818.14847,-10233.35555,29174.13095,-896.1285513,2555.7297280000003,0.0,0.0,0.0,0.0,0.0,94896.47551,1430156.3590599997,1468151.1518999997,1476434.78353,1498486.2875499998,1459078.80105,1489149.0605512997,1485697.2022719998,1488252.9319999998,1488252.9319999998,1488252.9319999998,1488252.9319999998,1488252.9319999998,1393356.4564899998
2601,"Muncie, IN Metro Area-Bus",2006,0,31,1948935.965,22975.34612,24157.30538,26495.35862,-12620.91225,17804.98276,-543.4590264999999,4203.381122,8956.591656,0.0,0.0,0.0,0.0,367232.6751,81071.91906,44259.08548,38313.50709,-22854.2678,46979.11371,-1439.5875778,6759.11085,8956.591656,0.0,0.0,0.0,0.0,462129.15061,1867864.04594,1904676.8795200002,1910622.45791,1971790.2328,1901956.8512900001,1950375.5525778001,1942176.85415,1939979.3733440002,1948935.965,1948935.965,1948935.965,1948935.965,1486806.81439
2602,"Muncie, IN Metro Area-Bus",2007,0,31,1922247.6409999998,-26731.9636,87814.32465,-2970.21291,-6378.201368999999,19068.32436,2071.084452,-536.195783,-8168.575856999999,0.0,0.0,0.0,0.0,-89622.06081,54339.95546,132073.41013,35343.29418,-29232.469169,66047.43807,631.4968742000001,6222.915067,788.0157990000016,0.0,0.0,0.0,0.0,372507.0898,1867907.6855399997,1790174.2308699999,1886904.3468199999,1951480.1101689998,1856200.20293,1921616.1441257999,1916024.7259329997,1921459.625201,1922247.6409999998,1922247.6409999998,1922247.6409999998,1922247.6409999998,1549740.5511999999
2603,"Muncie, IN Metro Area-Bus",2008,0,31,1927958.9009999998,-30089.897360000003,-84684.71562999999,-5197.426066,-4433.471662,27245.5849,-267.30286290000004,1322.769896,13890.48726,0.0,0.0,0.0,0.0,88503.3358,24250.058099999995,47388.69450000001,30145.868113999997,-33665.940831,93293.02297,364.19401130000006,7545.684963,14678.503059000002,0.0,0.0,0.0,0.0,461010.4256,1903708.8428999998,1880570.2064999999,1897813.032886,1961624.8418309998,1834665.8780299998,1927594.7069886997,1920413.2160369998,1913280.3979409998,1927958.9009999998,1927958.9009999998,1927958.9009999998,1927958.9009999998,1466948.4753999999
2604,"Muncie, IN Metro Area-Bus",2009,0,31,1779921.072,-102970.6705,8683.294527,-7952.079720000001,-6224.609392,-82720.47637,106566.2001,7175.034464,1157.152316,0.0,0.0,0.0,0.0,-65970.06,-78720.6124,56071.98902700001,22193.788393999996,-39890.550223,10572.546600000001,106930.3941113,14720.719427,15835.655375000002,0.0,0.0,0.0,0.0,395040.3656,1858641.6844,1723849.082973,1757727.283606,1819811.622223,1769348.5254,1672990.6778886998,1765200.352573,1764085.4166249998,1779921.072,1779921.072,1779921.072,1779921.072,1384880.7064
2605,"Muncie, IN Metro Area-Bus",2010,0,31,1819733.4780000001,2628.306662,7856.462973000001,5877.663436,-8040.721995999999,37716.64938,-50801.69699,-15482.26002,-5331.898979,0.0,0.0,0.0,0.0,66444.64821,-76092.305738,63928.45200000001,28071.451829999995,-47931.272219,48289.195980000004,56128.69712130001,-761.5405929999997,10503.756396000002,0.0,0.0,0.0,0.0,461485.01381000003,1895825.783738,1755805.026,1791662.0261700002,1867664.750219,1771444.28202,1763604.7808787,1820495.018593,1809229.721604,1819733.4780000001,1819733.4780000001,1819733.4780000001,1819733.4780000001,1358248.4641900002
2606,"Muncie, IN Metro Area-Bus",2011,0,31,1859702.451,-13007.12986,-5345.879245,2850.404352,-5073.598975,53926.15805,-15192.441169999998,18241.859930000002,2731.718996,0.0,0.0,0.0,0.0,1439.7618810000001,-89099.435598,58582.572755000016,30921.856181999996,-53004.871194,102215.35403,40936.25595130001,17480.319337,13235.475392000002,0.0,0.0,0.0,0.0,462924.77569100005,1948801.8865979998,1801119.8782449998,1828780.594818,1912707.3221939998,1757487.0969699998,1818766.1950486999,1842222.131663,1846466.9756079998,1859702.451,1859702.451,1859702.451,1859702.451,1396777.6753089998
2607,"Muncie, IN Metro Area-Bus",2012,0,31,1836874.1509999998,-11849.27392,7241.400581,1497.8904519999999,4222.831667,-1238.8989390000002,42560.031930000005,-9188.116233,-7794.571405,0.0,0.0,0.0,0.0,-47870.084389999996,-100948.70951799999,65823.97333600001,32419.746633999996,-48782.039527,100976.455091,83496.28788130001,8292.203104,5440.903987000002,0.0,0.0,0.0,0.0,415054.6913010001,1937822.8605179999,1771050.1776639998,1804454.4043659999,1885656.1905269998,1735897.6959089998,1753377.8631186998,1828581.9478959998,1831433.2470129998,1836874.1509999998,1836874.1509999998,1836874.1509999998,1836874.1509999998,1421819.4596989998
2608,"Muncie, IN Metro Area-Bus",2013,0,31,1815943.3669999999,7994.452756999999,-11902.54623,-578.0321713,-1330.7215119999998,-8841.215149,39779.40884,7597.186661,0.0,0.0,0.0,0.0,0.0,-53414.949810000006,-92954.256761,53921.42710600001,31841.714462699994,-50112.761039,92135.239942,123275.69672130002,15889.389765,5440.903987000002,0.0,0.0,0.0,0.0,361639.74149100005,1908897.6237609999,1762021.9398939998,1784101.6525372998,1866056.1280389999,1723808.1270579998,1692667.6702786998,1800053.9772349999,1810502.4630129999,1815943.3669999999,1815943.3669999999,1815943.3669999999,1815943.3669999999,1454303.625509
2609,"Muncie, IN Metro Area-Bus",2014,0,31,1826407.774,-5532.813126,-2254.897091,-420.32934800000004,2333.468518,-16332.37854,-58586.33787999999,124.9231192,2180.496353,0.0,0.0,0.0,0.0,88287.98571000001,-98487.06988699999,51666.53001500001,31421.385114699995,-47779.292520999996,75802.861402,64689.358841300025,16014.3128842,7621.400340000002,0.0,0.0,0.0,0.0,449927.7272010001,1924894.8438869999,1774741.243985,1794986.3888853,1874187.066521,1750604.912598,1761718.4151587,1810393.4611158,1818786.37366,1826407.774,1826407.774,1826407.774,1826407.774,1376480.046799
2610,"Muncie, IN Metro Area-Bus",2015,0,31,1749288.04,10479.57079,-9673.989785,5400.362677,2472.805325,-79449.40682999999,17454.99687,-8898.597059,8788.058592,-49358.435860000005,0.0,0.0,0.0,25329.49396,-88007.49909699999,41992.54023000001,36821.74779169999,-45306.487195999995,-3646.5454279999976,82144.35571130003,7115.715825200001,16409.458932,-49358.435860000005,0.0,0.0,0.0,475257.2211610001,1837295.539097,1707295.49977,1712466.2922083,1794594.527196,1752934.585428,1667143.6842887,1742172.3241748,1732878.581068,1798646.4758600001,1749288.04,1749288.04,1749288.04,1274030.818839
2611,"Muncie, IN Metro Area-Bus",2016,0,31,1526052.611,4028.637339,-13796.058280000001,-1389.7129380000001,502.615359,-25789.47579,-67007.09589,-11394.41984,-6286.277097,-47274.28494,0.0,0.0,0.0,-60622.9232,-83978.861758,28196.481950000012,35432.034853699995,-44803.87183699999,-29436.021217999998,15137.259821300031,-4278.7040148,10123.181835000001,-96632.72080000001,0.0,0.0,0.0,414634.29796100006,1610031.472758,1497856.12905,1490620.5761463,1570856.482837,1555488.632218,1510915.3511787,1530331.3150148,1515929.429165,1622685.3318,1526052.611,1526052.611,1526052.611,1111418.313039
2612,"Muncie, IN Metro Area-Bus",2017,0,31,1356341.535,-52160.34654,821.2947875,191.5005071,-4680.715593,16161.0612,4772.560105,15509.939209999999,-14126.86215,-41241.3761,0.0,0.0,0.0,-95119.0309,-136139.20829799998,29017.77673750001,35623.53536079999,-49484.58742999999,-13274.960017999998,19909.81992630003,11231.235195199999,-4003.6803149999996,-137874.0969,0.0,0.0,0.0,319515.26706100005,1492480.743298,1327323.7582625,1320717.9996391998,1405826.12243,1369616.495018,1336431.7150736998,1345110.2998048,1360345.215315,1494215.6319,1356341.535,1356341.535,1356341.535,1036826.2679389999
2613,"Muncie, IN Metro Area-Bus",2018,0,31,1316717.207,-32355.12268,4541.19374,43.87896483,-3061.9773210000003,17552.39145,-9939.038125,7953.968754,-10639.5161,-36654.95604,0.0,0.0,0.0,22585.07121,-168494.33097799998,33558.970477500014,35667.414325629994,-52546.56475099999,4277.431432000001,9970.781801300032,19185.2039492,-14643.196415,-174529.05294,0.0,0.0,0.0,342100.3382710001,1485211.537978,1283158.2365225,1281049.7926743699,1369263.7717509998,1312439.775568,1306746.4251986998,1297532.0030508,1331360.4034149998,1491246.25994,1316717.207,1316717.207,1316717.207,974616.8687289999
